"","PertePoids","Sorte_The","Producteur","Prelevement","Site","DoseRepPrel"
"106",-0.0390707497360085,"Residus_Canneberges","Fortier",7,"9","0_2_9_7"
"107",-0.099630996309963,"Residus_Canneberges","Fortier",7,"9","0_2_9_7"
"108",0.215263157894737,"Residus_Canneberges","Fortier",7,"9","0_2_9_7"
"109",0.0284974093264248,"Residus_Canneberges","Fortier",7,"9","15_1_9_7"
"110",-0.0936012691697515,"Residus_Canneberges","Fortier",7,"9","15_1_9_7"
"111",0.0921465968586387,"Residus_Canneberges","Fortier",7,"9","15_1_9_7"
"112",0.012448132780083,"Residus_Canneberges","Fortier",7,"9","15_2_9_7"
"113",0.0230005227391532,"Residus_Canneberges","Fortier",7,"9","15_2_9_7"
"114",0.0072202166064982,"Residus_Canneberges","Fortier",7,"9","15_2_9_7"
"115",-0.0160705028512182,"Residus_Canneberges","Fortier",7,"9","30_1_9_7"
"116",0.0455735987427973,"Residus_Canneberges","Fortier",7,"9","30_1_9_7"
"117",0.0476439790575916,"Residus_Canneberges","Fortier",7,"9","30_2_9_7"
"118",0.105426356589147,"Residus_Canneberges","Fortier",7,"9","45_1_9_7"
"119",0.0259875259875259,"Residus_Canneberges","Fortier",7,"9","45_1_9_7"
"120",0.0273618998451214,"Residus_Canneberges","Fortier",7,"9","45_1_9_7"
"121",0.0173775671406003,"Residus_Canneberges","Fortier",7,"9","45_2_9_7"
"122",0.0057773109243697,"Residus_Canneberges","Fortier",7,"9","45_2_9_7"
"123",0.0453834115805947,"Residus_Canneberges","Fortier",7,"9","60_1_9_7"
"124",0.0371352785145889,"Residus_Canneberges","Fortier",7,"9","60_1_9_7"
"125",0.00680272108843544,"Residus_Canneberges","Fortier",7,"9","60_2_9_7"
"126",0.155163466528282,"Residus_Canneberges","Fortier",7,"9","60_2_9_7"
"127",0.0194225721784776,"Residus_Canneberges","Fortier",7,"9","30_2_9_7"
"128",-0.0109603340292276,"Residus_Canneberges","Fortier",7,"9","30_2_9_7"
"129",-0.0801862390067253,"Residus_Canneberges","Fortier",7,"9","45_2_9_7"
"130",0.0109546165884195,"Residus_Canneberges","Fortier",7,"9","45_2_9_7"
"131",0.0165374677002584,"Residus_Canneberges","Fortier",7,"9","60_2_9_7"
"132",-0.227436823104693,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"133",-0.234768907563025,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"134",-0.0103896103896104,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"135",0.008298755186722,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"136",-0.000526315789473743,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"137",0.0341261633919337,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"138",0.0237480640165204,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"139",-0.126582278481013,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"140",0.0160372478013451,"Residus_Canneberges","Fortier",7,"9","NA_NA_9_7"
"141",0.033748701973001,"Residus_Canneberges","Fortier",7,"45","0_1_45_7"
"142",0.0276617954070981,"Residus_Canneberges","Fortier",7,"45","0_1_45_7"
"143",0.198342827550492,"Residus_Canneberges","Fortier",7,"45","0_1_45_7"
"144",0.0031055900621118,"Residus_Canneberges","Fortier",7,"45","0_2_45_7"
"145",0.055613850996852,"Residus_Canneberges","Fortier",7,"45","0_2_45_7"
"146",0.0528262017960909,"Residus_Canneberges","Fortier",7,"45","0_2_45_7"
"147",0.0218181818181818,"Residus_Canneberges","Fortier",7,"45","15_1_45_7"
"148",0.0358839050131926,"Residus_Canneberges","Fortier",7,"45","15_1_45_7"
"149",0.0368066355624676,"Residus_Canneberges","Fortier",7,"45","15_1_45_7"
"150",0.0448150078165712,"Residus_Canneberges","Fortier",7,"45","15_2_45_7"
"151",0.0426417056682268,"Residus_Canneberges","Fortier",7,"45","15_2_45_7"
"152",0.0353430353430353,"Residus_Canneberges","Fortier",7,"45","15_2_45_7"
"153",0.0401903754627182,"Residus_Canneberges","Fortier",7,"45","30_1_45_7"
"154",-0.108740894901145,"Residus_Canneberges","Fortier",7,"45","30_1_45_7"
"155",0.0561679790026247,"Residus_Canneberges","Fortier",7,"45","30_1_45_7"
"156",0.0662148070907195,"Residus_Canneberges","Fortier",7,"45","30_2_45_7"
"157",-0.108695652173913,"Residus_Canneberges","Fortier",7,"45","30_2_45_7"
"158",0.0275277924827952,"Residus_Canneberges","Fortier",7,"45","30_2_45_7"
"159",0.0617540217955371,"Residus_Canneberges","Fortier",7,"45","45_1_45_7"
"160",0.00416883793642523,"Residus_Canneberges","Fortier",7,"45","45_1_45_7"
"161",-0.0525198938992042,"Residus_Canneberges","Fortier",7,"45","45_1_45_7"
"162",0.0377258235919235,"Residus_Canneberges","Fortier",7,"45","45_2_45_7"
"163",0.034446764091858,"Residus_Canneberges","Fortier",7,"45","45_2_45_7"
"164",0.0986214209968186,"Residus_Canneberges","Fortier",7,"45","45_2_45_7"
"165",0.0284960422163589,"Residus_Canneberges","Fortier",7,"45","60_1_45_7"
"166",0.0141583639223913,"Residus_Canneberges","Fortier",7,"45","60_1_45_7"
"167",-0.0177267987486966,"Residus_Canneberges","Fortier",7,"45","60_1_45_7"
"168",0.0189473684210525,"Residus_Canneberges","Fortier",7,"45","60_2_45_7"
"169",0.0134854771784232,"Residus_Canneberges","Fortier",7,"45","60_2_45_7"
"170",0.358906988964792,"Residus_Canneberges","Fortier",7,"45","60_2_45_7"
"171",0.0396246089676746,"Residus_Canneberges","Fortier",7,"45","0_2_45_7"
"172",0.017451084082496,"Residus_Canneberges","Fortier",7,"45","0_2_45_7"
"173",0.138598326359833,"Residus_Canneberges","Fortier",7,"45","15_2_45_7"
"174",0.002655337227828,"Residus_Canneberges","Fortier",7,"45","15_2_45_7"
"175",0.0311510031678986,"Residus_Canneberges","Fortier",7,"45","30_2_45_7"
"176",0.0274261603375527,"Residus_Canneberges","Fortier",7,"45","30_2_45_7"
"177",0.0338624338624338,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"178",0.0288865546218487,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"179",0.040398740818468,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"180",0.08004158004158,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"181",0.0602284527518172,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"182",0.0261917234154008,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"183",0.0330188679245283,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"184",0.0606531881804043,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"185",0.0323759791122716,"Residus_Canneberges","Fortier",7,"45","NA_NA_45_7"
"186",-0.0399366085578446,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"187",-0.0323013415892673,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"188",-0.0278731149245969,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"189",-0.0340347185691741,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"190",-0.0391714735186156,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"191",-0.0395495023572551,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"192",-0.035856992639327,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"193",-0.0414775725593668,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"194",-0.0482631578947369,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"195",-0.0406347554630595,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"196",-0.030057803468208,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"197",-0.036051948051948,"Residus_Canneberges","Belanger",1,"A9","79.98256_1_A9_1"
"198",-0.0488045738045739,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"199",-0.0359958506224067,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"200",0.162279792746114,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"201",-0.0336990595611285,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"202",-0.0151515151515152,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"203",-0.0329153605015675,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"204",-0.0577523413111342,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"205",-0.0407019381875327,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"206",-0.0435509138381201,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"207",0.0185369429753364,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"208",0.0147690373939457,"Residus_Canneberges","Belanger",1,"A9","79.98256_2_A9_1"
"209",-0.0497373949579832,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"210",-0.0488188976377953,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"211",-0.0371368198626519,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"212",-0.0580962234868081,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"213",-0.0658562367864694,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"214",-0.00317796610169492,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"215",-0.0421383647798742,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"216",-0.127970557308097,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"217",-0.0423953365129836,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"218",-0.109105180533752,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"219",-0.0370798319327731,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"220",-0.0392857142857142,"Residus_Canneberges","Belanger",2,"A9","79.98256_1_A9_2"
"221",-0.0409138655462185,"Residus_Canneberges","Belanger",2,"A9","79.98256_2_A9_2"
