No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Teneur_C_Initial_g;Teneur_N_Initial_g;Teneur_S_Initial_g;Pourcentage_C_Final;Teneur_C_Final_g;Pourcentage_N_Final;Teneur_N_Final_g;Pourcentage_S_Final;Teneur_S_Final_g;Difference_C_Total_g;Difference_N_Total_g;Difference_S_Total_g;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
1215;G;GrenTea;1,75;2,106;0,356;0,834;Fortier;45;Conventionel;Nproducteur;;;0,839906667;0,0590975;0,003389167;50,1115;0,41792991;4,6972;0,039174648;0,312;0,00260208;0,421976757;0,019922852;0,000787087;;;
1216;G;GrenTea;1,778;2,137;0,36;0,867;Fortier;45;Conventionel;Nproducteur;;;0,853345173;0,06004306;0,003443393;51,396;0,44560332;4,6003;0,039884601;0,312;0,00270504;0,407741853;0,020158459;0,000738353;;;
1217;G;GrenTea;1,795;2,144;0,348;0,798;Fortier;45;Conventionel;Nproducteur;;;0,861504267;0,06061715;0,003476317;51,773;0,41314854;4,007;0,03197586;0,283;0,00225834;0,448355727;0,02864129;0,001217977;;;
523;S;Rooibos;1,907;2,274;0,367;1,352;Fortier;45;conventionel;N;0;1;0,911387083;0,019833224;0,001720538;47,963;0,64845976;1,2148;0,016424096;0,0845;0,00114244;0,262927323;0,003409128;0,000578098;;;
524;S;Rooibos;1,891;2,252;0,361;1,371;Fortier;45;conventionel;N;0;1;0,903740417;0,01966682;0,001706102;48,358;0,66298818;1,0006;0,013718226;0,0706;0,000967926;0,240752237;0,005948594;0,000738176;;;
525;S;Rooibos;1,896;2,257;0,361;1,401;Fortier;45;conventionel;N;0;1;0,90613;0,019718821;0,001710613;49,667;0,69583467;1,0147;0,014215947;0,0773;0,001082973;0,21029533;0,005502874;0,00062764;;;
526;S;Rooibos;1,902;2,27;0,368;1,3;Fortier;45;conventionel;N;0;2;0,9089975;0,019781223;0,001716027;50,585;0,657605;0,89246;0,01160198;0,0584;0,0007592;0,2513925;0,008179243;0,000956827;;;
527;S;Rooibos;1,888;2,249;0,361;1,235;Fortier;45;conventionel;N;0;2;0,902306667;0,01963562;0,001703396;45,33;0,5598255;0,82495;0,010188133;0,0692;0,00085462;0,342481167;0,009447487;0,000848776;;;
528;S;Rooibos;1,893;2,254;0,361;1,35;Fortier;45;conventionel;N;0;2;0,90469625;0,019687621;0,001707907;46;0,621;0,98091;0,013242285;0,0891;0,00120285;0,28369625;0,006445336;0,000505057;;;
529;S;Rooibos;1,893;2,25;0,356;1,406;Fortier;45;conventionel;N;15;1;0,90469625;0,019687621;0,001707907;44,649;0,62776494;0,88298;0,012414699;0,0731;0,001027786;0,27693131;0,007272922;0,000680121;;;
