No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Teneur_C;Teneur_N;Teneur_S
26;S;Rooibos;1,919;2,143;0,226;1,464;Belanger;A9;Biologique;N;60;1;;;
27;S;Rooibos;1,896;2,123;0,226;1,448;Belanger;A9;Biologique;N;60;1;;;
28;S;Rooibos;1,918;2,145;0,227;1,463;Belanger;A9;Biologique;N;60;2;;;
29;S;Rooibos;1,914;2,141;0,227;1,41;Belanger;A9;Biologique;N;60;2;;;
30;S;Rooibos;1,916;2,142;0,227;;Belanger;A9;Biologique;N;60;2;;;
31;S;Rooibos;1,918;2,145;0,226;1,453;Belanger;A9;Biologique;N;60;2;;;
32;S;Rooibos;1,891;2,118;0,227;1,286;Belanger;A9;Biologique;N;60;2;;;
33;S;Rooibos;1,9;2,125;0,226;1,322;Belanger;A9;Biologique;N;45;2;;;
34;S;Rooibos;1,904;2,132;0,227;1,439;Belanger;A9;Biologique;N;45;2;;;
35;S;Rooibos;1,894;2,122;0,228;1,502;Belanger;A9;Biologique;N;30;2;;;
36;S;Rooibos;1,92;2,146;0,226;1,489;Belanger;A9;Biologique;N;30;2;;;
88;S;Rooibos;1,897;2,123;0,227;1,46;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
124;G;GrenTea;1,787;2,015;0,228;0,905;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
125;G;GrenTea;1,779;2,008;0,228;0,883;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
126;G;GrenTea;1,798;2,025;0,228;0,726;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
127;G;GrenTea;1,788;2,015;0,226;0,818;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
128;G;GrenTea;1,795;2,023;0,229;0,776;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
129;G;GrenTea;1,76;1,986;0,226;0,891;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
130;G;GrenTea;1,765;1,992;0,227;0,878;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
131;G;GrenTea;1,796;2,022;0,227;0,92;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
132;G;GrenTea;1,767;1,995;0,228;0,823;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
133;G;GrenTea;1,767;1,997;0,229;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
134;G;GrenTea;1,784;2,012;0,228;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
135;G;GrenTea;1,786;2,014;0,227;0,886;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
136;G;GrenTea;1,777;2,003;0,225;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
137;G;GrenTea;1,767;1,994;0,227;0,806;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
138;G;GrenTea;1,797;2,024;0,228;0,763;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
139;G;GrenTea;1,777;2,004;0,227;0,779;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
140;G;GrenTea;1,775;2,003;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
141;G;GrenTea;1,761;1,989;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
142;G;GrenTea;1,751;1,979;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
