"","PertePoids","Sorte_The","Initial_Poids_Echantillon_g","Final_Poids_Echantillon_g","Producteur","Prelevement","Site","DoseRepPrel"
"144",0.0031055900621118,"Residus_Canneberges",1.932,1.926,"Fortier",7,"45","0_2_45_7"
"145",0.055613850996852,"Residus_Canneberges",1.906,1.8,"Fortier",7,"45","0_2_45_7"
"146",0.0528262017960909,"Residus_Canneberges",1.893,1.793,"Fortier",7,"45","0_2_45_7"
"147",0.0218181818181818,"Residus_Canneberges",1.925,1.883,"Fortier",7,"45","15_1_45_7"
"148",0.0358839050131926,"Residus_Canneberges",1.895,1.827,"Fortier",7,"45","15_1_45_7"
"149",0.0368066355624676,"Residus_Canneberges",1.929,1.858,"Fortier",7,"45","15_1_45_7"
"150",0.0448150078165712,"Residus_Canneberges",1.919,1.833,"Fortier",7,"45","15_2_45_7"
"151",0.0426417056682268,"Residus_Canneberges",1.923,1.841,"Fortier",7,"45","15_2_45_7"
"152",0.0353430353430353,"Residus_Canneberges",1.924,1.856,"Fortier",7,"45","15_2_45_7"
"153",0.0401903754627182,"Residus_Canneberges",1.891,1.815,"Fortier",7,"45","30_1_45_7"
"154",-0.108740894901145,"Residus_Canneberges",1.922,2.131,"Fortier",7,"45","30_1_45_7"
"155",0.0561679790026247,"Residus_Canneberges",1.905,1.798,"Fortier",7,"45","30_1_45_7"
"156",0.0662148070907195,"Residus_Canneberges",1.918,1.791,"Fortier",7,"45","30_2_45_7"
"157",-0.108695652173913,"Residus_Canneberges",1.886,2.091,"Fortier",7,"45","30_2_45_7"
"158",0.0275277924827952,"Residus_Canneberges",1.889,1.837,"Fortier",7,"45","30_2_45_7"
"159",0.0617540217955371,"Residus_Canneberges",1.927,1.808,"Fortier",7,"45","45_1_45_7"
"160",0.00416883793642523,"Residus_Canneberges",1.919,1.911,"Fortier",7,"45","45_1_45_7"
"161",-0.0525198938992042,"Residus_Canneberges",1.885,1.984,"Fortier",7,"45","45_1_45_7"
"162",0.0377258235919235,"Residus_Canneberges",1.882,1.811,"Fortier",7,"45","45_2_45_7"
"163",0.034446764091858,"Residus_Canneberges",1.916,1.85,"Fortier",7,"45","45_2_45_7"
"164",0.0986214209968186,"Residus_Canneberges",1.886,1.7,"Fortier",7,"45","45_2_45_7"
"165",0.0284960422163589,"Residus_Canneberges",1.895,1.841,"Fortier",7,"45","60_1_45_7"
"166",0.0141583639223913,"Residus_Canneberges",1.907,1.88,"Fortier",7,"45","60_1_45_7"
"167",-0.0177267987486966,"Residus_Canneberges",1.918,1.952,"Fortier",7,"45","60_1_45_7"
"168",0.0189473684210525,"Residus_Canneberges",1.9,1.864,"Fortier",7,"45","60_2_45_7"
"169",0.0134854771784232,"Residus_Canneberges",1.928,1.902,"Fortier",7,"45","60_2_45_7"
"170",0.358906988964792,"Residus_Canneberges",1.903,1.22,"Fortier",7,"45","60_2_45_7"
"171",0.0396246089676746,"Residus_Canneberges",1.918,1.842,"Fortier",7,"45","0_2_45_7"
"172",0.017451084082496,"Residus_Canneberges",1.891,1.858,"Fortier",7,"45","0_2_45_7"
"173",0.138598326359833,"Residus_Canneberges",1.912,1.647,"Fortier",7,"45","15_2_45_7"
"174",0.002655337227828,"Residus_Canneberges",1.883,1.878,"Fortier",7,"45","15_2_45_7"
"175",0.0311510031678986,"Residus_Canneberges",1.894,1.835,"Fortier",7,"45","30_2_45_7"
"176",0.0274261603375527,"Residus_Canneberges",1.896,1.844,"Fortier",7,"45","30_2_45_7"
"177",0.0338624338624338,"Residus_Canneberges",1.89,1.826,"Fortier",7,"45","NA_NA_45_7"
"178",0.0288865546218487,"Residus_Canneberges",1.904,1.849,"Fortier",7,"45","NA_NA_45_7"
"179",0.040398740818468,"Residus_Canneberges",1.906,1.829,"Fortier",7,"45","NA_NA_45_7"
"180",0.08004158004158,"Residus_Canneberges",1.924,1.77,"Fortier",7,"45","NA_NA_45_7"
"181",0.0602284527518172,"Residus_Canneberges",1.926,1.81,"Fortier",7,"45","NA_NA_45_7"
"182",0.0261917234154008,"Residus_Canneberges",1.909,1.859,"Fortier",7,"45","NA_NA_45_7"
"183",0.0330188679245283,"Residus_Canneberges",1.908,1.845,"Fortier",7,"45","NA_NA_45_7"
"184",0.0606531881804043,"Residus_Canneberges",1.929,1.812,"Fortier",7,"45","NA_NA_45_7"
"185",0.0323759791122716,"Residus_Canneberges",1.915,1.853,"Fortier",7,"45","NA_NA_45_7"
"186",-0.0399366085578446,"Residus_Canneberges",1.893,1.9686,"Belanger",1,"A9","79.98256_1_A9_1"
"187",-0.0323013415892673,"Residus_Canneberges",1.938,2.0006,"Belanger",1,"A9","79.98256_1_A9_1"
"188",-0.0278731149245969,"Residus_Canneberges",1.923,1.9766,"Belanger",1,"A9","79.98256_1_A9_1"
"189",-0.0340347185691741,"Residus_Canneberges",1.901,1.9657,"Belanger",1,"A9","79.98256_1_A9_1"
"190",-0.0391714735186156,"Residus_Canneberges",1.907,1.9817,"Belanger",1,"A9","79.98256_1_A9_1"
"191",-0.0395495023572551,"Residus_Canneberges",1.909,1.9845,"Belanger",1,"A9","79.98256_1_A9_1"
"192",-0.035856992639327,"Residus_Canneberges",1.902,1.9702,"Belanger",1,"A9","79.98256_1_A9_1"
"193",-0.0414775725593668,"Residus_Canneberges",1.895,1.9736,"Belanger",1,"A9","79.98256_1_A9_1"
"194",-0.0482631578947369,"Residus_Canneberges",1.9,1.9917,"Belanger",1,"A9","79.98256_1_A9_1"
"195",-0.0406347554630595,"Residus_Canneberges",1.922,2.0001,"Belanger",1,"A9","79.98256_1_A9_1"
"196",-0.030057803468208,"Residus_Canneberges",1.903,1.9602,"Belanger",1,"A9","79.98256_1_A9_1"
"197",-0.036051948051948,"Residus_Canneberges",1.925,1.9944,"Belanger",1,"A9","79.98256_1_A9_1"
"198",-0.0488045738045739,"Residus_Canneberges",1.924,2.0179,"Belanger",1,"A9","79.98256_2_A9_1"
"199",-0.0359958506224067,"Residus_Canneberges",1.928,1.9974,"Belanger",1,"A9","79.98256_2_A9_1"
"200",0.162279792746114,"Residus_Canneberges",1.93,1.6168,"Belanger",1,"A9","79.98256_2_A9_1"
"201",-0.0336990595611285,"Residus_Canneberges",1.914,1.9785,"Belanger",1,"A9","79.98256_2_A9_1"
"202",-0.0151515151515152,"Residus_Canneberges",1.914,1.943,"Belanger",1,"A9","79.98256_2_A9_1"
"203",-0.0329153605015675,"Residus_Canneberges",1.914,1.977,"Belanger",1,"A9","79.98256_2_A9_1"
"204",-0.0577523413111342,"Residus_Canneberges",1.922,2.033,"Belanger",1,"A9","79.98256_2_A9_1"
"205",-0.0407019381875327,"Residus_Canneberges",1.909,1.9867,"Belanger",1,"A9","79.98256_2_A9_1"
"206",-0.0435509138381201,"Residus_Canneberges",1.915,1.9984,"Belanger",1,"A9","79.98256_2_A9_1"
"207",0.0185369429753364,"Residus_Canneberges",1.9097,1.8743,"Belanger",1,"A9","79.98256_2_A9_1"
"208",0.0147690373939457,"Residus_Canneberges",1.9094,1.8812,"Belanger",1,"A9","79.98256_2_A9_1"
"209",-0.0497373949579832,"Residus_Canneberges",1.904,1.9987,"Belanger",2,"A9","79.98256_1_A9_2"
"210",-0.0488188976377953,"Residus_Canneberges",1.905,1.998,"Belanger",2,"A9","79.98256_1_A9_2"
"211",-0.0371368198626519,"Residus_Canneberges",1.893,1.9633,"Belanger",2,"A9","79.98256_1_A9_2"
"212",-0.0580962234868081,"Residus_Canneberges",1.933,2.0453,"Belanger",2,"A9","79.98256_1_A9_2"
"213",-0.0658562367864694,"Residus_Canneberges",1.892,2.0166,"Belanger",2,"A9","79.98256_1_A9_2"
"214",-0.00317796610169492,"Residus_Canneberges",1.888,1.894,"Belanger",2,"A9","79.98256_1_A9_2"
"215",-0.0421383647798742,"Residus_Canneberges",1.908,1.9884,"Belanger",2,"A9","79.98256_1_A9_2"
"216",-0.127970557308097,"Residus_Canneberges",1.902,2.1454,"Belanger",2,"A9","79.98256_1_A9_2"
"217",-0.0423953365129836,"Residus_Canneberges",1.887,1.967,"Belanger",2,"A9","79.98256_1_A9_2"
"218",-0.109105180533752,"Residus_Canneberges",1.911,2.1195,"Belanger",2,"A9","79.98256_1_A9_2"
"219",-0.0370798319327731,"Residus_Canneberges",1.904,1.9746,"Belanger",2,"A9","79.98256_1_A9_2"
"220",-0.0392857142857142,"Residus_Canneberges",1.932,2.0079,"Belanger",2,"A9","79.98256_1_A9_2"
"221",-0.0409138655462185,"Residus_Canneberges",1.904,1.9819,"Belanger",2,"A9","79.98256_2_A9_2"
"222",-0.0269916142557653,"Residus_Canneberges",1.908,1.9595,"Belanger",2,"A9","79.98256_2_A9_2"
"223",-0.02684703433923,"Residus_Canneberges",1.922,1.9736,"Belanger",2,"A9","79.98256_2_A9_2"
"224",-0.00904311251314411,"Residus_Canneberges",1.902,1.9192,"Belanger",2,"A9","79.98256_2_A9_2"
"225",-0.0369565217391305,"Residus_Canneberges",1.932,2.0034,"Belanger",2,"A9","79.98256_2_A9_2"
