NoOriginal;Farmers;Site;Regie;Prélèvement;TeaType;Répétition;Poids_Contenu (g);Poids_Total _g;Poids_sac _g;Poids_final_g
45N;Belanger;A9;Organic;1;Cranberry litter;1;1.895;2.255;0.36;1.9736
46N;Belanger;A9;Organic;1;Cranberry litter;1;1.9;2.26;0.36;1.9917
47N;Belanger;A9;Organic;1;Cranberry litter;1;1.922;2.284;0.362;2.0001
48N;Belanger;A9;Organic;1;Cranberry litter;1;1.903;2.274;0.372;
49N;Belanger;A9;Organic;1;Cranberry litter;1;1.912;2.275;0.363;
50N;Belanger;A9;Organic;1;Cranberry litter;1;1.903;2.263;0.36;1.9602
51N;Belanger;A9;Organic;1;Cranberry litter;1;1.905;2.263;0.358;
52N;Belanger;A9;Organic;1;Cranberry litter;1;1.901;2.266;0.364;
53N;Belanger;A9;Organic;1;Cranberry litter;1;1.92;2.282;0.362;
54N;Belanger;A9;Organic;1;Cranberry litter;1;1.883;2.25;0.368;
55N;Belanger;A9;Organic;1;Cranberry litter;1;1.925;2.292;0.369;1.9944
56N;Belanger;A9;Organic;1;Cranberry litter;1;1.887;2.252;0.363;
57G;Belanger;A9;Organic;1;Green tea;2;1.769;1.996;0.227;1.2346
58G;Belanger;A9;Organic;1;Green tea;2;1.769;1.996;0.228;
59G;Belanger;A9;Organic;1;Green tea;2;1.765;1.99;0.226;
60G;Belanger;A9;Organic;1;Green tea;2;1.776;2.001;0.224;
61G;Belanger;A9;Organic;1;Green tea;2;1.773;2.001;0.228;1.2082
62G;Belanger;A9;Organic;1;Green tea;2;1.778;2.006;0.228;1.1903
63G;Belanger;A9;Organic;1;Green tea;2;1.754;1.983;0.229;1.1825
64G;Belanger;A9;Organic;1;Green tea;2;1.791;2.02;0.228;1.1735
65G;Belanger;A9;Organic;1;Green tea;2;1.8;2.029;0.229;1.2472
66G;Belanger;A9;Organic;1;Green tea;2;1.794;2.021;0.227;1.2157
67G;Belanger;A9;Organic;1;Green tea;2;1.776;2.002;0.226;
68G;Belanger;A9;Organic;1;Green tea;2;1.759;1.985;0.227;1.1472
69G;Belanger;A9;Organic;1;Green tea;2;1.777;2.001;0.225;1.1743
70G;Belanger;A9;Organic;1;Green tea;2;1.798;2.026;0.227;1.2479
71G;Belanger;A9;Organic;1;Green tea;2;1.767;1.994;0.227;
72G;Belanger;A9;Organic;1;Green tea;2;1.763;1.989;0.227;1.1668
73G;Belanger;A9;Organic;1;Green tea;2;1.776;2;0.226;1.2222
74G;Belanger;A9;Organic;1;Green tea;2;1.771;1.997;0.227;
75G;Belanger;A9;Organic;1;Green tea;2;1.78;2.009;0.23;1.157
76G;Belanger;A9;Organic;1;Green tea;2;1.776;2.004;0.229;1.1605
57S;Belanger;A9;Organic;1;Rooibos tea;2;1.906;2.131;0.227;1.7368
58S;Belanger;A9;Organic;1;Rooibos tea;2;1.903;2.128;0.226;1.7433
59S;Belanger;A9;Organic;1;Rooibos tea;2;1.9;2.128;0.227;1.7352
60S;Belanger;A9;Organic;1;Rooibos tea;2;1.911;2.136;0.225;1.7316
61S;Belanger;A9;Organic;1;Rooibos tea;2;1.914;2.142;0.227;1.7348
62S;Belanger;A9;Organic;1;Rooibos tea;2;1.92;2.147;0.227;1.7573
63S;Belanger;A9;Organic;1;Rooibos tea;2;1.903;2.127;0.224;1.7733
64S;Belanger;A9;Organic;1;Rooibos tea;2;1.905;2.131;0.226;1.7544
65S;Belanger;A9;Organic;1;Rooibos tea;2;1.91;2.137;0.229;1.7238
66S;Belanger;A9;Organic;1;Rooibos tea;2;1.891;2.121;0.229;1.7741
67S;Belanger;A9;Organic;1;Rooibos tea;2;1.92;2.147;0.226;1.709
68S;Belanger;A9;Organic;1;Rooibos tea;2;1.898;2.122;0.225;1.6403
69S;Belanger;A9;Organic;1;Rooibos tea;2;1.918;2.144;0.226;1.7584
70S;Belanger;A9;Organic;1;Rooibos tea;2;1.903;2.129;0.226;1.7288
71S;Belanger;A9;Organic;1;Rooibos tea;2;1.913;2.14;0.226;1.7397
72S;Belanger;A9;Organic;1;Rooibos tea;2;1.9;2.127;0.227;1.6926
73S;Belanger;A9;Organic;1;Rooibos tea;2;1.9;2.124;0.224;1.69
74S;Belanger;A9;Organic;1;Rooibos tea;2;1.917;2.143;0.226;1.7594
75S;Belanger;A9;Organic;1;Rooibos tea;2;1.914;2.14;0.226;1.7554
76S;Belanger;A9;Organic;1;Rooibos tea;2;1.901;2.128;0.226;1.6842
57N;Belanger;A9;Organic;1;Cranberry litter;2;1.924;2.281;0.358;2.0179
58N;Belanger;A9;Organic;1;Cranberry litter;2;1.9;2.27;0.368;
59N;Belanger;A9;Organic;1;Cranberry litter;2;1.928;2.294;0.365;1.9974
60N;Belanger;A9;Organic;1;Cranberry litter;2;1.933;2.299;0.366;
61N;Belanger;A9;Organic;1;Cranberry litter;2;1.93;2.295;0.365;1.6168
62N;Belanger;A9;Organic;1;Cranberry litter;2;1.914;2.276;0.361;1.9785
63N;Belanger;A9;Organic;1;Cranberry litter;2;1.933;2.289;0.355;
64N;Belanger;A9;Organic;1;Cranberry litter;2;1.914;2.27;0.357;
65N;Belanger;A9;Organic;1;Cranberry litter;2;1.914;2.279;0.365;1.943
66N;Belanger;A9;Organic;1;Cranberry litter;2;1.881;2.245;0.363;
67N;Belanger;A9;Organic;1;Cranberry litter;2;1.898;2.258;0.36;
68N;Belanger;A9;Organic;1;Cranberry litter;2;1.914;2.269;0.356;1.977
69N;Belanger;A9;Organic;1;Cranberry litter;2;1.922;2.277;0.357;2.033
70N;Belanger;A9;Organic;1;Cranberry litter;2;1.909;2.277;0.368;
71N;Belanger;A9;Organic;1;Cranberry litter;2;1.881;2.247;0.363;
72N;Belanger;A9;Organic;1;Cranberry litter;2;1.909;2.274;0.366;1.9867
73N;Belanger;A9;Organic;1;Cranberry litter;2;1.908;2.269;0.36;
74N;Belanger;A9;Organic;1;Cranberry litter;2;1.915;2.286;0.37;1.9984
75N;Belanger;A9;Organic;1;Cranberry litter;2;1.9097;2.27;0.3602;1.8743
76N;Belanger;A9;Organic;1;Cranberry litter;2;1.9094;2.269;0.3587;1.8812
77G;Belanger;A9;Organic;2;Green tea;1;1.757;1.983;0.227;0.9357
78G;Belanger;A9;Organic;2;Green tea;1;1.772;1.996;0.225;
79G;Belanger;A9;Organic;2;Green tea;1;1.764;1.988;0.226;0.9632
80G;Belanger;A9;Organic;2;Green tea;1;1.776;2.003;0.227;1.0099
81G;Belanger;A9;Organic;2;Green tea;1;1.794;2.019;0.225;1.0093
82G;Belanger;A9;Organic;2;Green tea;1;1.765;1.994;0.229;1.0163
83G;Belanger;A9;Organic;2;Green tea;1;1.754;1.981;0.229;0.9633
84G;Belanger;A9;Organic;2;Green tea;1;1.761;1.988;0.227;0.9583
85G;Belanger;A9;Organic;2;Green tea;1;1.767;1.995;0.227;0.9424
86G;Belanger;A9;Organic;2;Green tea;1;1.791;2.021;0.23;0.9563
87G;Belanger;A9;Organic;2;Green tea;1;1.772;2;0.229;0.9637
88G;Belanger;A9;Organic;2;Green tea;1;1.786;2.012;0.227;1.0001
89G;Belanger;A9;Organic;2;Green tea;1;1.788;2.013;0.227;0.9676
90G;Belanger;A9;Organic;2;Green tea;1;1.797;2.022;0.225;0.9809
91G;Belanger;A9;Organic;2;Green tea;1;1.787;2.009;0.226;0.9692
92G;Belanger;A9;Organic;2;Green tea;1;1.79;2.017;0.227;
93G;Belanger;A9;Organic;2;Green tea;1;1.761;1.989;0.229;0.9664
94G;Belanger;A9;Organic;2;Green tea;1;1.784;2.012;0.229;
95G;Belanger;A9;Organic;2;Green tea;1;1.771;1.999;0.229;0.9912
96G;Belanger;A9;Organic;2;Green tea;1;1.786;2.011;0.225;0.9579
77S;Belanger;A9;Organic;2;Rooibos tea;1;1.92;2.148;0.229;1.6985
78S;Belanger;A9;Organic;2;Rooibos tea;1;1.895;2.122;0.227;1.6119
79S;Belanger;A9;Organic;2;Rooibos tea;1;1.917;2.145;0.229;1.6936
80S;Belanger;A9;Organic;2;Rooibos tea;1;1.907;2.135;0.229;1.6108
81S;Belanger;A9;Organic;2;Rooibos tea;1;1.892;2.12;0.228;1.5925
82S;Belanger;A9;Organic;2;Rooibos tea;1;1.901;2.128;0.227;1.6119
83S;Belanger;A9;Organic;2;Rooibos tea;1;1.896;2.124;0.228;1.6365
84S;Belanger;A9;Organic;2;Rooibos tea;1;1.896;2.122;0.227;1.7032
85S;Belanger;A9;Organic;2;Rooibos tea;1;1.918;2.143;0.225;1.6908
86S;Belanger;A9;Organic;2;Rooibos tea;1;1.907;2.134;0.228;1.6113
87S;Belanger;A9;Organic;2;Rooibos tea;1;1.91;2.137;0.227;1.661
205S;Belanger;A9;Organic;2;Rooibos tea;1;1.899;2.126;0.226;1.6725
206S;Belanger;A9;Organic;2;Rooibos tea;1;1.915;2.141;0.226;1.6423
207S;Belanger;A9;Organic;2;Rooibos tea;1;1.903;2.129;0.227;1.6661
208S;Belanger;A9;Organic;2;Rooibos tea;1;1.903;2.133;0.23;1.6067
209S;Belanger;A9;Organic;2;Rooibos tea;1;1.896;2.258;0.362;1.627
210S;Belanger;A9;Organic;2;Rooibos tea;1;1.9;2.251;0.352;1.6134
211S;Belanger;A9;Organic;2;Rooibos tea;1;1.92;2.278;0.358;1.7015
212S;Belanger;A9;Organic;2;Rooibos tea;1;1.895;2.249;0.354;1.676
213S;Belanger;A9;Organic;2;Rooibos tea;1;1.907;2.266;0.359;1.6483
77N;Belanger;A9;Organic;2;Cranberry litter;1;1.904;2.269;0.365;1.9987
78N;Belanger;A9;Organic;2;Cranberry litter;1;1.905;2.272;0.363;1.998
79N;Belanger;A9;Organic;2;Cranberry litter;1;1.898;2.264;0.366;
80N;Belanger;A9;Organic;2;Cranberry litter;1;1.895;2.256;0.361;
81N;Belanger;A9;Organic;2;Cranberry litter;1;1.893;2.256;0.363;1.9633
82N;Belanger;A9;Organic;2;Cranberry litter;1;1.933;2.292;0.359;2.0453
83N;Belanger;A9;Organic;2;Cranberry litter;1;1.892;2.249;0.357;2.0166
84N;Belanger;A9;Organic;2;Cranberry litter;1;1.888;2.251;0.363;1.894
85N;Belanger;A9;Organic;2;Cranberry litter;1;1.908;2.274;0.365;1.9884
86N;Belanger;A9;Organic;2;Cranberry litter;1;1.928;2.29;0.362;
87N;Belanger;A9;Organic;2;Cranberry litter;1;1.891;2.248;0.355;
88N;Belanger;A9;Organic;2;Cranberry litter;1;1.902;2.265;0.365;2.1454
89N;Belanger;A9;Organic;2;Cranberry litter;1;1.887;2.244;0.358;1.967
90N;Belanger;A9;Organic;2;Cranberry litter;1;1.911;2.27;0.359;2.1195
91N;Belanger;A9;Organic;2;Cranberry litter;1;1.904;2.262;0.359;1.9746
92N;Belanger;A9;Organic;2;Cranberry litter;1;1.898;2.257;0.359;
93N;Belanger;A9;Organic;2;Cranberry litter;1;1.888;2.248;0.361;
94N;Belanger;A9;Organic;2;Cranberry litter;1;1.932;2.293;0.359;2.0079
95N;Belanger;A9;Organic;2;Cranberry litter;1;1.932;2.295;0.365;
96N;Belanger;A9;Organic;2;Cranberry litter;1;1.917;2.283;0.365;
97G;Belanger;A9;Organic;2;Green tea;2;1.755;1.983;0.228;0.9341
98G;Belanger;A9;Organic;2;Green tea;2;1.777;2.005;0.228;
99G;Belanger;A9;Organic;2;Green tea;2;1.78;2.008;0.229;0.9532
100G;Belanger;A9;Organic;2;Green tea;2;1.783;2.007;0.224;0.964
101G;Belanger;A9;Organic;2;Green tea;2;1.798;2.027;0.229;1.0145
102G;Belanger;A9;Organic;2;Green tea;2;1.79;2.016;0.226;0.9636
103G;Belanger;A9;Organic;2;Green tea;2;1.796;2.022;0.227;0.9687
104G;Belanger;A9;Organic;2;Green tea;2;1.768;1.992;0.225;0.9475
105G;Belanger;A9;Organic;2;Green tea;2;1.754;1.979;0.225;0.939
106G;Belanger;A9;Organic;2;Green tea;2;1.788;2.014;0.226;0.9409
107G;Belanger;A9;Organic;2;Green tea;2;1.797;2.024;0.228;0.9561
108G;Belanger;A9;Organic;2;Green tea;2;1.784;2.011;0.227;0.9522
109G;Belanger;A9;Organic;2;Green tea;2;1.765;1.99;0.226;0.981
110G;Belanger;A9;Organic;2;Green tea;2;1.774;2.001;0.226;
111G;Belanger;A9;Organic;2;Green tea;2;1.795;2.022;0.227;0.9669
112G;Belanger;A9;Organic;2;Green tea;2;1.756;1.985;0.229;0.9383
113G;Belanger;A9;Organic;2;Green tea;2;1.787;2.012;0.225;0.959
114G;Belanger;A9;Organic;2;Green tea;2;1.774;2.002;0.228;0.9513
115G;Belanger;A9;Organic;2;Green tea;2;1.777;2.004;0.227;0.93
116G;Belanger;A9;Organic;2;Green tea;2;1.796;2.024;0.228;1.0048
214S;Belanger;A9;Organic;2;Rooibos tea;2;1.905;2.265;0.357;1.6337
215S;Belanger;A9;Organic;2;Rooibos tea;2;1.891;2.249;0.358;1.5795
216S;Belanger;A9;Organic;2;Rooibos tea;2;1.896;2.261;0.365;1.6094
217S;Belanger;A9;Organic;2;Rooibos tea;2;1.914;2.273;0.359;1.6697
218S;Belanger;A9;Organic;2;Rooibos tea;2;1.923;2.283;0.361;
219S;Belanger;A9;Organic;2;Rooibos tea;2;1.915;2.269;0.354;1.6583
220S;Belanger;A9;Organic;2;Rooibos tea;2;1.919;2.274;0.354;1.6421
221S;Belanger;A9;Organic;2;Rooibos tea;2;1.915;2.274;0.359;1.695
222S;Belanger;A9;Organic;2;Rooibos tea;2;1.92;2.277;0.357;1.628
223S;Belanger;A9;Organic;2;Rooibos tea;2;1.895;2.255;0.36;
224S;Belanger;A9;Organic;2;Rooibos tea;2;1.916;2.278;0.362;1.6527
225S;Belanger;A9;Organic;2;Rooibos tea;2;1.916;2.274;0.357;1.5912
226S;Belanger;A9;Organic;2;Rooibos tea;2;1.912;2.272;0.36;
227S;Belanger;A9;Organic;2;Rooibos tea;2;1.904;2.263;0.359;1.5948
228S;Belanger;A9;Organic;2;Rooibos tea;2;1.893;2.253;0.359;1.5683
229S;Belanger;A9;Organic;2;Rooibos tea;2;1.9;2.262;0.363;1.6024
230S;Belanger;A9;Organic;2;Rooibos tea;2;1.9;2.258;0.358;1.6105
231S;Belanger;A9;Organic;2;Rooibos tea;2;1.922;2.28;0.358;1.6026
232S;Belanger;A9;Organic;2;Rooibos tea;2;1.923;2.282;0.359;1.6158
233S;Belanger;A9;Organic;2;Rooibos tea;2;1.902;2.257;0.355;1.6078
97N;Belanger;A9;Organic;2;Cranberry litter;2;1.904;2.268;0.364;1.9819
98N;Belanger;A9;Organic;2;Cranberry litter;2;1.908;2.276;0.367;1.9595
99N;Belanger;A9;Organic;2;Cranberry litter;2;1.922;2.283;0.363;1.9736
100N;Belanger;A9;Organic;2;Cranberry litter;2;1.902;2.265;0.364;1.9192
101N;Belanger;A9;Organic;2;Cranberry litter;2;1.933;2.296;0.364;
102N;Belanger;A9;Organic;2;Cranberry litter;2;1.93;2.287;0.357;
103N;Belanger;A9;Organic;2;Cranberry litter;2;1.932;2.29;0.359;2.0034
104N;Belanger;A9;Organic;2;Cranberry litter;2;1.894;2.261;0.366;
105N;Belanger;A9;Organic;2;Cranberry litter;2;1.925;2.283;0.358;
106N;Belanger;A9;Organic;2;Cranberry litter;2;1.914;2.276;0.361;2.0533
107N;Belanger;A9;Organic;2;Cranberry litter;2;1.9;2.268;0.368;1.9986
108N;Belanger;A9;Organic;2;Cranberry litter;2;1.92;2.278;0.359;
109N;Belanger;A9;Organic;2;Cranberry litter;2;1.883;2.236;0.353;
110N;Belanger;A9;Organic;2;Cranberry litter;2;1.916;2.279;0.363;
111N;Belanger;A9;Organic;2;Cranberry litter;2;1.928;2.288;0.359;1.9332
112N;Belanger;A9;Organic;2;Cranberry litter;2;1.884;2.245;0.361;
113N;Belanger;A9;Organic;2;Cranberry litter;2;1.892;2.253;0.362;
114N;Belanger;A9;Organic;2;Cranberry litter;2;1.912;2.274;0.366;
115N;Belanger;A9;Organic;2;Cranberry litter;2;1.925;2.284;0.359;
116N;Belanger;A9;Organic;2;Cranberry litter;2;1.928;2.291;0.364;2.0033
117G;Belanger;A9;Organic;3;Green tea;1;1.777;2.003;0.226;0.8888
118G;Belanger;A9;Organic;3;Green tea;1;1.784;2.007;0.225;0.9047
119G;Belanger;A9;Organic;3;Green tea;1;1.765;1.991;0.226;0.8534
120G;Belanger;A9;Organic;3;Green tea;1;1.765;1.991;0.227;0.9282
121G;Belanger;A9;Organic;3;Green tea;1;1.798;2.025;0.227;0.9129
122G;Belanger;A9;Organic;3;Green tea;1;1.77;1.997;0.228;0.9397
123G;Belanger;A9;Organic;3;Green tea;1;1.776;2.003;0.227;0.8871
184G;Belanger;A9;Organic;3;Green tea;1;1.796;2.019;0.227;0.9392
277G;Belanger;A9;Organic;3;Green tea;1;1.786;2.015;0.23;0.8625
278G;Belanger;A9;Organic;3;Green tea;1;1.798;2.025;0.228;0.8466
279G;Belanger;A9;Organic;3;Green tea;1;1.787;2.016;0.229;0.9322
280G;Belanger;A9;Organic;3;Green tea;1;1.781;2.012;0.231;0.8823
281G;Belanger;A9;Organic;3;Green tea;1;1.788;2.017;0.229;0.8415
282G;Belanger;A9;Organic;3;Green tea;1;1.776;2.003;0.227;
283G;Belanger;A9;Organic;3;Green tea;1;1.783;2.013;0.23;0.8988
284G;Belanger;A9;Organic;3;Green tea;1;1.778;2.006;0.229;0.8577
285G;Belanger;A9;Organic;3;Green tea;1;1.756;1.986;0.23;0.8388
286G;Belanger;A9;Organic;3;Green tea;1;1.771;2;0.229;0.8046
287G;Belanger;A9;Organic;3;Green tea;1;1.777;2.008;0.231;0.8937
288G;Belanger;A9;Organic;3;Green tea;1;1.798;2.028;0.23;0.8129
234S;Belanger;A9;Organic;3;Rooibos tea;1;1.923;2.286;0.362;1.4512
235S;Belanger;A9;Organic;3;Rooibos tea;1;1.908;2.274;0.366;1.4577
236S;Belanger;A9;Organic;3;Rooibos tea;1;1.904;2.261;0.356;1.3985
237S;Belanger;A9;Organic;3;Rooibos tea;1;1.926;2.292;0.366;1.4287
238S;Belanger;A9;Organic;3;Rooibos tea;1;1.923;2.281;0.358;1.4709
239S;Belanger;A9;Organic;3;Rooibos tea;1;1.905;2.272;0.367;1.378
240S;Belanger;A9;Organic;3;Rooibos tea;1;1.9;2.26;0.36;1.404
241S;Belanger;A9;Organic;3;Rooibos tea;1;1.926;2.281;0.359;1.4048
242S;Belanger;A9;Organic;3;Rooibos tea;1;1.907;2.259;0.351;
243S;Belanger;A9;Organic;3;Rooibos tea;1;1.925;2.283;0.358;1.3815
244S;Belanger;A9;Organic;3;Rooibos tea;1;1.9;2.256;0.356;1.3909
245S;Belanger;A9;Organic;3;Rooibos tea;1;1.918;2.275;0.357;1.461
246S;Belanger;A9;Organic;3;Rooibos tea;1;1.894;2.252;0.358;
247S;Belanger;A9;Organic;3;Rooibos tea;1;1.92;2.28;0.36;
248S;Belanger;A9;Organic;3;Rooibos tea;1;1.907;2.27;0.363;1.425
249S;Belanger;A9;Organic;3;Rooibos tea;1;1.918;2.272;0.354;1.3178
250S;Belanger;A9;Organic;3;Rooibos tea;1;1.902;2.257;0.355;1.4247
251S;Belanger;A9;Organic;3;Rooibos tea;1;1.907;2.262;0.355;1.3597
252S;Belanger;A9;Organic;3;Rooibos tea;1;1.925;2.288;0.363;
253S;Belanger;A9;Organic;3;Rooibos tea;1;1.924;2.29;0.366;
117N;Belanger;A9;Organic;3;Cranberry litter;1;1.915;2.282;0.369;
118N;Belanger;A9;Organic;3;Cranberry litter;1;1.891;2.251;0.36;
119N;Belanger;A9;Organic;3;Cranberry litter;1;1.909;2.271;0.363;1.8861
120N;Belanger;A9;Organic;3;Cranberry litter;1;1.89;2.247;0.356;1.879
121N;Belanger;A9;Organic;3;Cranberry litter;1;1.901;2.264;0.364;1.8978
122N;Belanger;A9;Organic;3;Cranberry litter;1;1.907;2.267;0.361;1.8565
123N;Belanger;A9;Organic;3;Cranberry litter;1;1.934;2.295;0.36;1.935
124N;Belanger;A9;Organic;3;Cranberry litter;1;1.939;2.3;0.361;1.9397
125N;Belanger;A9;Organic;3;Cranberry litter;1;1.93;2.293;0.363;1.9201
126N;Belanger;A9;Organic;3;Cranberry litter;1;1.883;2.25;0.367;1.8892
127N;Belanger;A9;Organic;3;Cranberry litter;1;1.882;2.243;0.361;1.864
128N;Belanger;A9;Organic;3;Cranberry litter;1;1.896;2.263;0.368;1.879
129N;Belanger;A9;Organic;3;Cranberry litter;1;1.909;2.268;0.359;1.9072
130N;Belanger;A9;Organic;3;Cranberry litter;1;1.919;2.285;0.366;1.9217
131N;Belanger;A9;Organic;3;Cranberry litter;1;1.898;2.258;0.362;1.8868
132N;Belanger;A9;Organic;3;Cranberry litter;1;1.895;2.248;0.36;1.8822
133N;Belanger;A9;Organic;3;Cranberry litter;1;1.913;2.273;0.359;1.9014
134N;Belanger;A9;Organic;3;Cranberry litter;1;1.89;2.252;0.362;1.8951
135N;Belanger;A9;Organic;3;Cranberry litter;1;1.899;2.259;0.36;1.8593
136N;Belanger;A9;Organic;3;Cranberry litter;1;1.897;2.258;0.361;1.8901
289G;Belanger;A9;Organic;3;Green tea;2;1.78;2.007;0.228;0.825
290G;Belanger;A9;Organic;3;Green tea;2;1.76;1.989;0.23;
291G;Belanger;A9;Organic;3;Green tea;2;1.774;2.002;0.23;0.76
292G;Belanger;A9;Organic;3;Green tea;2;1.768;1.995;0.227;0.8391
293G;Belanger;A9;Organic;3;Green tea;2;1.783;2.012;0.229;0.8515
294G;Belanger;A9;Organic;3;Green tea;2;1.775;2.002;0.228;0.8018
295G;Belanger;A9;Organic;3;Green tea;2;1.779;2.007;0.229;0.8713
296G;Belanger;A9;Organic;3;Green tea;2;1.784;2.012;0.227;0.8947
297G;Belanger;A9;Organic;3;Green tea;2;1.769;1.996;0.229;0.852
298G;Belanger;A9;Organic;3;Green tea;2;1.765;1.99;0.226;0.8726
299G;Belanger;A9;Organic;3;Green tea;2;1.75;1.976;0.226;
300G;Belanger;A9;Organic;3;Green tea;2;1.759;1.986;0.227;
301G;Belanger;A9;Organic;3;Green tea;2;1.778;2.008;0.23;0.8289
302G;Belanger;A9;Organic;3;Green tea;2;1.776;2.004;0.228;
303G;Belanger;A9;Organic;3;Green tea;2;1.798;2.026;0.227;0.8575
304G;Belanger;A9;Organic;3;Green tea;2;1.78;2.011;0.231;0.8782
305G;Belanger;A9;Organic;3;Green tea;2;1.785;2.013;0.228;0.8272
306G;Belanger;A9;Organic;3;Green tea;2;1.785;2.011;0.227;0.863
307G;Belanger;A9;Organic;3;Green tea;2;1.795;2.021;0.227;0.7834
308G;Belanger;A9;Organic;3;Green tea;2;1.796;2.024;0.229;0.9134
254S;Belanger;A9;Organic;3;Rooibos tea;2;1.911;2.27;0.359;1.487
255S;Belanger;A9;Organic;3;Rooibos tea;2;1.898;2.257;0.36;1.4337
256S;Belanger;A9;Organic;3;Rooibos tea;2;1.91;2.267;0.357;1.4751
257S;Belanger;A9;Organic;3;Rooibos tea;2;1.893;2.254;0.361;1.342
258S;Belanger;A9;Organic;3;Rooibos tea;2;1.909;2.27;0.362;
259S;Belanger;A9;Organic;3;Rooibos tea;2;1.901;2.267;0.367;
260S;Belanger;A9;Organic;3;Rooibos tea;2;1.924;2.281;0.358;
261S;Belanger;A9;Organic;3;Rooibos tea;2;1.902;2.259;0.356;1.4327
262S;Belanger;A9;Organic;3;Rooibos tea;2;1.918;2.279;0.362;1.5307
263S;Belanger;A9;Organic;3;Rooibos tea;2;1.909;2.269;0.36;
264S;Belanger;A9;Organic;3;Rooibos tea;2;1.904;2.259;0.355;
265S;Belanger;A9;Organic;3;Rooibos tea;2;1.926;2.292;0.367;1.3566
266S;Belanger;A9;Organic;3;Rooibos tea;2;1.924;2.286;0.362;1.3916
267S;Belanger;A9;Organic;3;Rooibos tea;2;1.909;2.27;0.361;
268S;Belanger;A9;Organic;3;Rooibos tea;2;1.893;2.25;0.356;1.3406
269S;Belanger;A9;Organic;3;Rooibos tea;2;1.905;2.261;0.357;
270S;Belanger;A9;Organic;3;Rooibos tea;2;1.926;2.295;0.369;1.4765
271S;Belanger;A9;Organic;3;Rooibos tea;2;1.896;2.248;0.353;
272S;Belanger;A9;Organic;3;Rooibos tea;2;1.924;2.286;0.361;1.3133
273S;Belanger;A9;Organic;3;Rooibos tea;2;1.925;2.279;0.355;1.4582
137N;Belanger;A9;Organic;3;Cranberry litter;2;1.905;2.269;0.363;
138N;Belanger;A9;Organic;3;Cranberry litter;2;1.903;2.264;0.362;
139N;Belanger;A9;Organic;3;Cranberry litter;2;1.926;2.295;0.369;
140N;Belanger;A9;Organic;3;Cranberry litter;2;1.927;2.287;0.36;1.9063
141N;Belanger;A9;Organic;3;Cranberry litter;2;1.907;2.27;0.363;1.8682
142N;Belanger;A9;Organic;3;Cranberry litter;2;1.894;2.254;0.361;1.8836
143N;Belanger;A9;Organic;3;Cranberry litter;2;1.898;2.265;0.367;
144N;Belanger;A9;Organic;3;Cranberry litter;2;1.911;2.272;0.361;1.8956
145N;Belanger;A9;Organic;3;Cranberry litter;2;1.881;2.244;0.363;1.8873
146N;Belanger;A9;Organic;3;Cranberry litter;2;1.904;2.266;0.362;1.8776
147N;Belanger;A9;Organic;3;Cranberry litter;2;1.882;2.247;0.365;1.8348
148N;Belanger;A9;Organic;3;Cranberry litter;2;1.886;2.239;0.354;1.8863
149N;Belanger;A9;Organic;3;Cranberry litter;2;1.914;2.281;0.367;1.7307
150N;Belanger;A9;Organic;3;Cranberry litter;2;1.924;2.28;0.357;
151N;Belanger;A9;Organic;3;Cranberry litter;2;1.924;2.284;0.359;1.9224
152N;Belanger;A9;Organic;3;Cranberry litter;2;1.887;2.248;0.363;
153N;Belanger;A9;Organic;3;Cranberry litter;2;1.893;2.251;0.358;
154N;Belanger;A9;Organic;3;Cranberry litter;2;1.923;2.286;0.363;
155N;Belanger;A9;Organic;3;Cranberry litter;2;1.906;2.267;0.362;1.8835
156N;Belanger;A9;Organic;3;Cranberry litter;2;1.927;2.284;0.357;2.1633
309G;Belanger;A9;Organic;4;Green tea;1;1.765;1.992;0.228;0.8722
310G;Belanger;A9;Organic;4;Green tea;1;1.795;2.021;0.228;0.9419
311G;Belanger;A9;Organic;4;Green tea;1;1.77;1.997;0.227;0.867
312G;Belanger;A9;Organic;4;Green tea;1;1.794;2.019;0.226;0.8952
313G;Belanger;A9;Organic;4;Green tea;1;1.793;2.02;0.227;0.8581
314G;Belanger;A9;Organic;4;Green tea;1;1.759;1.987;0.227;0.8452
315G;Belanger;A9;Organic;4;Green tea;1;1.794;2.021;0.227;0.8796
316G;Belanger;A9;Organic;4;Green tea;1;1.787;2.015;0.227;0.799
317G;Belanger;A9;Organic;4;Green tea;1;1.769;1.995;0.226;0.8783
318G;Belanger;A9;Organic;4;Green tea;1;1.794;2.017;0.223;0.8956
319G;Belanger;A9;Organic;4;Green tea;1;1.787;2.016;0.228;0.8592
320G;Belanger;A9;Organic;4;Green tea;1;1.782;2.013;0.231;0.8711
321G;Belanger;A9;Organic;4;Green tea;1;1.779;2.004;0.226;0.8789
322G;Belanger;A9;Organic;4;Green tea;1;1.777;2.002;0.226;0.9037
323G;Belanger;A9;Organic;4;Green tea;1;1.782;2.009;0.226;0.9005
324G;Belanger;A9;Organic;4;Green tea;1;1.789;2.017;0.228;0.8929
325G;Belanger;A9;Organic;4;Green tea;1;1.788;2.016;0.227;0.8303
326G;Belanger;A9;Organic;4;Green tea;1;1.789;2.015;0.226;0.8764
327G;Belanger;A9;Organic;4;Green tea;1;1.792;2.02;0.228;0.8734
328G;Belanger;A9;Organic;4;Green tea;1;1.796;2.025;0.228;0.9023
