Iden fiber,SOL perc ILR (%),HOLO perc ILR (%),LIC perc ILR (%)
N10_P3_R1,52.5793065714429,26.3414786669841,21.079214761573
N10_P3_R2,49.6090570101664,25.9431160677157,24.4478269221179
N10_P4_R1,35.3010453835361,34.8627208976658,29.8362337187981
N10_P4_R2,35.6878459546687,34.4350994302822,29.8770546150492
N10_P5_R1,48.0597337142381,22.3865626695169,29.553703616245
N10_P5_R2,45.9157914471879,28.1113358230111,25.972872729801
N10_P6_R1,54.3527112721061,25.7433503537148,19.9039383741791
N10_P6_R2,46.1570284011178,31.6009937343927,22.2419778644895
N10_P7_R1,46.6917613678411,29.0898991510125,24.2183394811464
N10_P7_R1,46.6917613678411,29.0898991510125,24.2183394811464
N10_P7_R1,46.6917613678411,29.0898991510125,24.2183394811464
N10_P7_R1,46.6917613678411,29.0898991510125,24.2183394811464
N10_P7_R2,49.0870958774001,22.3040025570647,28.6089015655352
N45_P1_R1,57.8816405594538,29.4570768091069,12.6612826314393
N45_P1_R2,42.9221000812619,38.7267218540461,18.351178064692
N45_P2_R1,45.1642256395789,33.6510462555926,21.1847281048284
N45_P2_R2,44.6505545476912,30.6174316256015,24.7320138267073
N45_P3_R1,46.5462080963912,26.2609530960383,27.1928388075704
N45_P3_R2,48.5399427377859,24.747176475982,26.7128807862321
N45_P4_R1,34.4458513171598,28.2055299065801,37.3486187762601
N45_P4_R2,39.8157919346689,31.9899988405461,28.1942092247851
N45_P5_R1,42.3645364887674,30.8182451157673,26.8172183954653
N45_P5_R2,51.0978272022697,24.8075254905872,24.0946473071431
N45_P6_R1,47.2680059777877,29.7872632632894,22.9447307589229
N45_P6_R2,48.8949450865784,26.2735235922623,24.8315313211593
N45_P7_R1,48.8061988949092,26.5713891883678,24.622411916723
N45_P7_R2,39.4115940351827,27.9313147975798,32.6570911672375
NA9_P1_R1,60.8645951710621,23.1199158021099,16.015489026828
NA9_P1_R2,51.5695581985968,34.395712034752,14.0347297666512
NA9_P2_R1,53.0634538936064,28.729335170807,18.2072109355866
NA9_P2_R2,48.6972384965679,30.1213322242751,21.1814292791571
NA9_P3_R1,51.0534459309369,17.7465016297744,31.2000524392887
NA9_P3_R2,43.1409263948996,25.3721272658151,31.4869463392852
NA9_P4_R1,32.1846937114858,27.5037607559284,40.3115455325857
NA9_P4_R2,33.7831974065871,41.6159385535145,24.6008640398984
NA9_P5_R1,57.1405442280556,20.085722766718,22.7737330052264
NA9_P5_R2,48.983145238291,27.1835215096793,23.8333332520298
NA9_P6_R1,50.7467125753941,24.7031401715637,24.5501472530422
NA9_P6_R2,53.3965772161655,25.1759518089536,21.4274709748809
NA9_P7_R1,46.9900522905133,29.9806939152659,23.0292537942208
NA9_P7_R2,49.6364031588409,27.09627056068,23.2673262804791
S09_P1_R1,33.3220403987266,52.7752750437541,13.9026845575193
S09_P1_R2,32.9969310488167,48.6964453805326,18.3066235706507
S09_P2_R1,30.4030032212956,42.4065269360016,27.1904698427028
S09_P2_R2,29.9736013336065,39.8372973270464,30.1891013393471
S09_P3_R1,34.3026208621589,32.6833634948145,33.0140156430265
S09_P3_R2,38.8085387348333,32.3747408739456,28.8167203912211
S09_P4_R1,30.6189032686624,46.3765151442231,23.0045815871145
S09_P4_R2,34.3407433720027,44.4860949789681,21.1731616490292
S09_P5_R1,30.8813508823684,43.4270950873439,25.6915540302876
S09_P5_R2,28.0898902233719,30.5251870441463,41.3849227324818
S09_P6_R1,30.8745120263973,42.2550529003789,26.8704350732238
S09_P6_R2,30.3278635716522,45.8644337407076,23.8077026876402
S09_P7_R1,28.2808847896955,46.3822222714873,25.3368929388172
S09_P7_R2,32.9189900808699,38.7344207529986,28.3465891661316
S10_P1_R1,34.7902705387299,45.7628486468059,19.4468808144643
S10_P1_R2,31.0701045347952,49.7921640712365,19.1377313939683
S10_P2_R1,24.8315950898311,35.6782799552061,39.4901249549628
S10_P2_R2,29.2549601389279,37.8400842931404,32.9049555679317
S10_P3_R1,36.8855325074989,36.4898251638803,26.6246423286208
S10_P3_R2,30.4481953607412,43.5719942680234,25.9798103712354
S10_P4_R1,32.8903187406872,42.6948203746529,24.4148608846599
S10_P4_R2,29.2966928882091,45.883605412148,24.8197016996429
S10_P5_R1,33.7545102241927,40.0157805058993,26.2297092699081
S10_P5_R2,31.2202767705665,35.0668582427041,33.7128649867293
S10_P6_R1,31.0828649916882,43.0123918146477,25.9047431936641
S10_P6_R2,36.2590764348167,38.9111445589676,24.8297790062157
S10_P7_R1,28.7079968199989,47.2335106883982,24.058492491603
S10_P7_R1,28.7079968199989,47.2335106883982,24.058492491603
S10_P7_R2,32.3023589557387,40.7784922797562,26.9191487645051
S45_P1_R1,34.1307270045799,48.2068477549926,17.6624252404276
S45_P1_R2,28.2317100396965,53.330909251325,18.4373807089785
S45_P2_R1,31.7550021987967,37.9258253346758,30.3191724665275
S45_P2_R2,35.8302738468903,33.4454041177953,30.7243220353144
S45_P3_R1,26.3315404695685,36.570364485538,37.0980950448935
S45_P3_R2,36.2942394835547,37.4607799643122,26.2449805521331
S45_P4_R1,29.4186956466796,47.0696197472322,23.5116846060882
S45_P4_R2,40.3677283760859,40.9291063111914,18.7031653127226
S45_P5_R1,34.363286585938,38.9060609856983,26.7306524283636
S45_P5_R2,27.2629022393261,42.5733576733327,30.1637400873412
S45_P6_R1,41.9980857674352,33.3029102265238,24.699004006041
S45_P6_R2,26.2053243677425,42.0737345863934,31.7209410458641
S45_P7_R1,36.0564461691795,37.3762229648699,26.5673308659507
S45_P7_R2,30.733085419672,42.6481548096778,26.6187597706502
SA9_P1_R1,37.0537067172492,42.081394884712,20.8648983980388
SA9_P1_R2,38.3230860784025,40.419819716132,21.2570942054655
SA9_P2_R1,32.4885965367194,36.1615238669909,31.3498795962897
SA9_P2_R2,30.7824274765073,39.7209042275099,29.4966682959827
SA9_P3_R1,43.507524761752,29.8601375353357,26.6323377029123
SA9_P3_R2,41.5774842837102,33.3535420952951,25.0689736209947
SA9_P4_R1,35.7499272641224,39.7175195105549,24.5325532253228
SA9_P4_R2,31.5639519144493,45.9359256404872,22.5001224450635
SA9_P5_R1,30.6339203701605,40.9038847051062,28.4621949247333
SA9_P5_R2,39.1551185621763,34.4991141214527,26.345767316371
SA9_P6_R2,36.9019255097952,38.46447210197,24.6336023882348
SA9_P7_R1,36.7242144186087,34.6594899436993,28.616295637692
SA9_P7_R2,34.7974059020559,39.823807913341,25.3787861846032
