No;TypeThe;Tea type;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Initial_Perc_C;Initial_Perc_N;Initial_Perc_S
796;S;Rooibos tea;Fortier;9;Conventionel;N;45;2;44,191;1,1311;0,049
797;S;Rooibos tea;Fortier;9;Conventionel;N;60;2;46,479;1,0038;0,0416
798;S;Rooibos tea;Fortier;9;Conventionel;N;60;2;42,541;0,94562;0,0276
1;N;Cranberry litter;Belanger;A9;Biologique;N;60;2;49,063;0,68647;0,0386
2;N;Cranberry litter;Belanger;A9;Biologique;N;60;2;48,953;0,73003;0,0319
3;N;Cranberry litter;Belanger;A9;Biologique;N;45;2;46,902;0,66729;0,0292
4;N;Cranberry litter;Belanger;A9;Biologique;N;45;2;49,316;0,70503;0,0376
5;N;Cranberry litter;Belanger;A9;Biologique;N;30;2;48,922;0,80019;0,0403
6;N;Cranberry litter;Belanger;A9;Biologique;N;30;2;48,652;0,66524;0,0304
7;N;Cranberry litter;Belanger;A9;Biologique;N;0;1;44,401;0,71274;0,0369
8;N;Cranberry litter;Belanger;A9;Biologique;N;0;1;49,096;0,71969;0,03
9;N;Cranberry litter;Belanger;A9;Biologique;N;0;1;48,697;0,70311;0,0325
10;N;Cranberry litter;Belanger;A9;Biologique;N;0;2;49,624;0,68393;0,0357
11;N;Cranberry litter;Belanger;A9;Biologique;N;0;2;48,927;0,71022;0,0313
12;N;Cranberry litter;Belanger;A9;Biologique;N;0;2;46,55;0,72076;0,0364
13;N;Cranberry litter;Belanger;A9;Biologique;N;30;1;45,787;0,62231;0,0276
14;N;Cranberry litter;Belanger;A9;Biologique;N;30;1;46,03;0,70791;0,0434
15;N;Cranberry litter;Belanger;A9;Biologique;N;30;1;49,3;0,70714;0,0346
16;N;Cranberry litter;Belanger;A9;Biologique;N;30;2;47,82;0,64509;0,0307
17;N;Cranberry litter;Belanger;A9;Biologique;N;30;2;48,468;0,67954;0,0297
18;N;Cranberry litter;Belanger;A9;Biologique;N;30;2;48,462;0,69446;0,0349
19;N;Cranberry litter;Belanger;A9;Biologique;N;60;1;45,975;1,8559;0,0896
20;N;Cranberry litter;Belanger;A9;Biologique;N;60;1;49,211;0,75332;0,0353
21;N;Cranberry litter;Belanger;A9;Biologique;N;60;1;48,723;0,736;0,0348
22;N;Cranberry litter;Belanger;A9;Biologique;N;60;2;48,299;0,7157;0,034
23;N;Cranberry litter;Belanger;A9;Biologique;N;60;2;48,98;0,71359;0,0324
24;N;Cranberry litter;Belanger;A9;Biologique;N;60;2;;;
25;N;Cranberry litter;Belanger;A9;Biologique;N;45;1;48,805;0,73177;0,0297
26;N;Cranberry litter;Belanger;A9;Biologique;N;45;1;44,703;0,71701;0,0336
27;N;Cranberry litter;Belanger;A9;Biologique;N;45;1;47,862;0,67527;0,0396
28;N;Cranberry litter;Belanger;A9;Biologique;N;45;2;49,136;0,73081;0,0327
29;N;Cranberry litter;Belanger;A9;Biologique;N;45;2;49,434;0,68146;0,0303
30;N;Cranberry litter;Belanger;A9;Biologique;N;45;2;48,038;0,73257;0,0338
331;N;Cranberry litter;Fortier;9;Conventionel;N;30;1;47,902;0,74365;0,0259
332;N;Cranberry litter;Fortier;9;Conventionel;N;30;1;47,69;0,81769;0,0339
333;N;Cranberry litter;Fortier;9;Conventionel;N;30;1;;;
334;N;Cranberry litter;Fortier;9;Conventionel;N;30;2;49,115;0,80071;0,0352
335;N;Cranberry litter;Fortier;9;Conventionel;N;30;2;;;
336;N;Cranberry litter;Fortier;9;Conventionel;N;30;2;;;
337;N;Cranberry litter;Fortier;9;Conventionel;N;45;1;47,781;0,74129;0,0312
338;N;Cranberry litter;Fortier;9;Conventionel;N;45;1;48,75;0,73854;0,0333
339;N;Cranberry litter;Fortier;9;Conventionel;N;45;1;49,084;0,77523;0,0249
340;N;Cranberry litter;Fortier;9;Conventionel;N;45;2;48,213;0,7071;0,0307
341;N;Cranberry litter;Fortier;9;Conventionel;N;45;2;49,776;0,73846;0,0326
342;N;Cranberry litter;Fortier;9;Conventionel;N;45;2;;;
343;N;Cranberry litter;Fortier;9;Conventionel;N;60;1;49,694;0,82165;0,0434
344;N;Cranberry litter;Fortier;9;Conventionel;N;60;1;;;
345;N;Cranberry litter;Fortier;9;Conventionel;N;60;1;50,385;0,74599;0,0337
346;N;Cranberry litter;Fortier;9;Conventionel;N;60;2;;;
347;N;Cranberry litter;Fortier;9;Conventionel;N;60;2;49,95;0,73899;0,0251
348;N;Cranberry litter;Fortier;9;Conventionel;N;60;2;48,318;0,7679;0,0442
463;N;Cranberry litter;Fortier;45;Conventionel;N;30;1;49,181;0,78571;0,0789
464;N;Cranberry litter;Fortier;45;Conventionel;N;30;1;44,097;0,71374;0,0741
465;N;Cranberry litter;Fortier;45;Conventionel;N;30;1;49,625;0,78517;0,069
466;N;Cranberry litter;Fortier;45;Conventionel;N;30;2;49,171;0,77354;0,0716
467;N;Cranberry litter;Fortier;45;Conventionel;N;30;2;40,626;0,63584;0,0688
468;N;Cranberry litter;Fortier;45;Conventionel;N;30;2;47,785;0,822;0,0765
469;N;Cranberry litter;Fortier;45;Conventionel;N;45;1;49,319;0,79053;0,0783
470;N;Cranberry litter;Fortier;45;Conventionel;N;45;1;47,425;0,82853;0,0708
471;N;Cranberry litter;Fortier;45;Conventionel;N;45;1;45,781;0,68101;0,067
472;N;Cranberry litter;Fortier;45;Conventionel;N;45;2;50,293;0,72939;0,0627
473;N;Cranberry litter;Fortier;45;Conventionel;N;45;2;49,674;0,75357;0,065
474;N;Cranberry litter;Fortier;45;Conventionel;N;45;2;44,719;0,75477;0,0766
475;N;Cranberry litter;Fortier;45;Conventionel;N;60;1;49,616;0,75621;0,0689
476;N;Cranberry litter;Fortier;45;Conventionel;N;60;1;49,886;0,7456;0,0694
477;N;Cranberry litter;Fortier;45;Conventionel;N;60;1;48,854;0,7294;0,0763
478;N;Cranberry litter;Fortier;45;Conventionel;N;60;2;49,311;0,72942;0,0704
479;N;Cranberry litter;Fortier;45;Conventionel;N;60;2;48,851;0,74198;0,0728
480;N;Cranberry litter;Fortier;45;Conventionel;N;60;2;47,936;0,81759;0,0751
721;N;Cranberry litter;Fortier;9;Conventionel;N;30;2;49,383;0,79523;0,0355
722;N;Cranberry litter;Fortier;9;Conventionel;N;30;2;48,942;0,75847;0,0285
723;N;Cranberry litter;Fortier;9;Conventionel;N;45;2;44,062;0,68259;0,029
724;N;Cranberry litter;Fortier;9;Conventionel;N;45;2;48,704;0,75821;0,0328
725;N;Cranberry litter;Fortier;9;Conventionel;N;60;2;;;
726;N;Cranberry litter;Fortier;9;Conventionel;N;60;2;48,743;0,78336;0,0377
727;N;Cranberry litter;Belanger;10;Conventionel;N;45;2;50,52;0,75327;0,0403
728;N;Cranberry litter;Belanger;10;Conventionel;N;45;2;50,972;0,7579;0,0362
729;N;Cranberry litter;Belanger;10;Conventionel;N;60;2;50,515;0,79619;0,0465
730;N;Cranberry litter;Belanger;10;Conventionel;N;60;2;50,51;0,74052;0,0416
731;N;Cranberry litter;Belanger;10;Conventionel;N;30;;49,552;0,67492;0,0407
732;N;Cranberry litter;Belanger;10;Conventionel;N;30;;50,478;0,72437;0,0503
790;N;Cranberry litter;Belanger;10;Conventionel;N;30;;48,498;0,66089;0,0439
791;N;Cranberry litter;Belanger;10;Conventionel;N;30;;50,649;0,70107;0,031
792;N;Cranberry litter;Belanger;10;Conventionel;N;30;;49,216;0,66367;0,041
793;N;Cranberry litter;Belanger;10;Conventionel;N;30;;50,265;0,70161;0,044
