"","No","Tea type abbr","Tea type","Initial tea weight (g)","Initial total weight (g)","Initial bag weight (g)","Remaining tea weight (g)","Farm","Site","Farming system","Nitrogen type","Nitrogen dose","Repetition","Remaining C (%)","Remaining N (%)","Remaining S (%)","Initial C fraction"
"79",135,"S","Rooibos tea",1.906,2.132,0.227,1.54,"Belanger","10","Conventional","N-21-0-0",30,2,46.033,0.9933,0.0372,0.910909167
"80",136,"S","Rooibos tea",1.913,2.139,0.226,1.571,"Belanger","10","Conventional","N-21-0-0",45,1,46.488,0.9111,0.0319,0.914254583
"81",137,"S","Rooibos tea",1.92,2.148,0.228,1.534,"Belanger","10","Conventional","N-21-0-0",45,1,50.148,1.0239,0.0309,0.9176
"82",138,"S","Rooibos tea",1.917,2.142,0.226,1.601,"Belanger","10","Conventional","N-21-0-0",45,1,45.778,0.86956,0.029,0.91616625
"83",139,"S","Rooibos tea",1.893,2.119,0.226,1.406,"Belanger","10","Conventional","N-21-0-0",45,2,48.147,1.0639,0.0567,0.90469625
"84",140,"S","Rooibos tea",1.893,2.117,0.225,1.349,"Belanger","10","Conventional","N-21-0-0",45,2,50.116,1.189,0.0509,0.90469625
"85",141,"S","Rooibos tea",1.901,2.127,0.226,1.5,"Belanger","10","Conventional","N-21-0-0",45,2,46.755,0.94695,0.0339,0.908519583
"86",142,"S","Rooibos tea",1.92,2.146,0.226,1.596,"Belanger","10","Conventional","N-21-0-0",60,1,46.96,0.93495,0.0358,0.9176
"87",143,"S","Rooibos tea",1.906,2.132,0.226,1.473,"Belanger","10","Conventional","N-21-0-0",60,1,47.501,0.9949,0.0502,0.910909167
"88",144,"S","Rooibos tea",1.912,2.138,0.225,1.516,"Belanger","10","Conventional","N-21-0-0",60,1,49.119,1.0393,0.0401,0.913776667
"89",145,"S","Rooibos tea",1.915,2.14,0.226,1.49,"Belanger","10","Conventional","N-21-0-0",60,2,45.212,0.75637,0.0304,0.915210417
"90",146,"S","Rooibos tea",1.916,2.142,0.226,1.645,"Belanger","10","Conventional","N-21-0-0",60,2,46.862,0.87316,0.0246,0.915688333
"91",147,"S","Rooibos tea",1.89,2.116,0.226,1.524,"Belanger","10","Conventional","N-21-0-0",60,2,46.998,1.0677,0.0375,0.9032625
"92",148,"S","Rooibos tea",1.899,2.127,0.227,1.391,"Belanger","10","Conventional","N-SCU",45,2,47.002,1.0066,0.0566,0.90756375
"93",149,"S","Rooibos tea",1.912,2.139,0.227,1.446,"Belanger","10","Conventional","N-SCU",45,2,46.87,0.89954,0.0337,0.913776667
"94",150,"S","Rooibos tea",1.908,2.138,0.231,1.534,"Belanger","10","Conventional","N-SCU",60,2,47.358,0.97108,0.0429,0.911865
"95",151,"S","Rooibos tea",1.919,2.145,0.226,1.615,"Belanger","10","Conventional","N-SCU",60,2,48.368,0.97371,0.034,0.917122083
"96",152,"S","Rooibos tea",1.903,2.129,0.226,1.598,"Belanger","10","Conventional","N-SCU",30,2,46.394,0.91746,0.0356,0.909475417
"97",153,"S","Rooibos tea",1.919,2.144,0.226,1.518,"Belanger","10","Conventional","N-SCU",30,2,46.134,0.99378,0.0341,0.917122083
"98",637,"G","Green tea",1.785,2.152,0.365,0.702,"Fortier","9","Conventional","N-21-0-0",30,1,42.055,4.0556,0.232,0.8567048
"99",638,"G","Green tea",1.778,2.144,0.366,0.582,"Fortier","9","Conventional","N-21-0-0",30,1,50.02,4.3624,0.272,0.853345173
"100",639,"G","Green tea",1.8,2.161,0.361,0.669,"Fortier","9","Conventional","N-21-0-0",30,1,49.777,4.8316,0.272,0.863904
"101",640,"G","Green tea",1.796,2.154,0.357,0.784,"Fortier","9","Conventional","N-21-0-0",30,2,50.58,5.1024,0.285,0.861984213
