No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S
126;G;GrenTea;1,798;2,025;0,228;0,726;Belanger;10;Conventionel;Nproducteur;57,28;1;48,95;4,2663;0,245
127;G;GrenTea;1,788;2,015;0,226;0,818;Belanger;10;Conventionel;Nproducteur;57,28;2;49,176;4,2812;0,256
128;G;GrenTea;1,795;2,023;0,229;0,776;Belanger;10;Conventionel;Nproducteur;57,28;2;50,017;4,2879;0,243
129;G;GrenTea;1,76;1,986;0,226;0,891;Belanger;10;Conventionel;Nproducteur;57,28;2;45,633;4,3888;0,25
130;G;GrenTea;1,765;1,992;0,227;0,878;Belanger;10;Conventionel;Nproducteur;57,28;1;51,367;4,5529;0,26
131;G;GrenTea;1,796;2,022;0,227;0,92;Belanger;10;Conventionel;Nproducteur;57,28;1;50,289;4,5806;0,256
132;G;GrenTea;1,767;1,995;0,228;0,823;Belanger;10;Conventionel;Nproducteur;57,28;1;51,441;4,7014;0,271
133;G;GrenTea;1,767;1,997;0,229;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
134;G;GrenTea;1,784;2,012;0,228;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
135;G;GrenTea;1,786;2,014;0,227;0,886;Belanger;10;Conventionel;Nproducteur;57,28;2;50,59;4,4912;0,256
136;G;GrenTea;1,777;2,003;0,225;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
137;G;GrenTea;1,767;1,994;0,227;0,806;Belanger;A9;Biologique;Nproducteur;68,71;1;49,746;5,2747;0,288
138;G;GrenTea;1,797;2,024;0,228;0,763;Belanger;A9;Biologique;Nproducteur;68,71;1;50,147;5,3952;0,282
139;G;GrenTea;1,777;2,004;0,227;0,779;Belanger;A9;Biologique;Nproducteur;68,71;2;47,897;4,8253;0,258
140;G;GrenTea;1,775;2,003;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;48,915;4,7691;0,272
141;G;GrenTea;1,761;1,989;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
142;G;GrenTea;1,751;1,979;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
143;G;GrenTea;1,796;2,024;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
144;G;GrenTea;1,789;2,014;0,227;0,793;Belanger;A9;Biologique;Nproducteur;68,71;1;49,138;4,9214;0,287
145;G;GrenTea;1,775;2,002;0,227;0,792;Belanger;A9;Biologique;Nproducteur;68,71;2;49,652;5,4628;0,294
146;G;GrenTea;1,756;1,984;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
147;G;GrenTea;1,795;2,022;0,228;0,61;Belanger;A9;Biologique;Nproducteur;68,71;2;37,286;4,3752;0,295
