"No";"TypeThe";"TeaType";"PoidsContenu_g";"PoidsTotal._g";"PoidsSac_g";"Poids_Restant_g";"Farmers";"Site";"Regie";"NitrogenType";"DoseN";"Repetition";"Pourcentage_C";"Pourcentage_N";"Pourcentage_S";"Teneur_Ci";"GreenTMoy_C";"GreenTMoy_N";"GreenTMoy_S";"Teneur_Cf";"Teneur_Nf";"Teneur_Sf";"PertePoids";"Difference_C_Total_g";"TauxDecomposition_C";"DoseRep"
"49";13;"S";"Rooibos tea";1,896;2,126;0,23;1,507;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;45,6;0,69923;0,0254;0,90613;NA;NA;NA;0,687192;0,0105373961;0,000382778;0,0025513942687608;0,218938;0,00307298949388396;"30_1_A9"
"50";14;"S";"Rooibos tea";1,91;2,137;0,227;1,459;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;46,94;0,84806;0,0356;0,912820833;NA;NA;NA;0,6848546;0,0123731954;0,000519404;0,00299279969464322;0,227966233;0,00319258965012521;"30_1_A9"
"51";15;"S";"Rooibos tea";1,918;2,146;0,228;1,465;"Belanger";"A9";"Biologique";"N-8-0-0";30;1;46,415;0,83329;0,042;0,916644167;NA;NA;NA;0,67997975;0,0122076985;0,0006153;0,0029936414888024;0,236664417;0,00331840375872656;"30_1_A9"
"52";16;"S";"Rooibos tea";1,901;2,13;0,23;1,39;"Belanger";"A9";"Biologique";"N-8-0-0";30;2;46,451;0,82498;0,0311;0,908519583;NA;NA;NA;0,6456689;0,011467222;0,00043229;0,00347862573737435;0,262850683;0,00379477343583124;"30_2_A9"
"53";17;"S";"Rooibos tea";1,899;2,127;0,228;1,444;"Belanger";"A9";"Biologique";"N-8-0-0";30;2;45,502;0,7767;0,0318;0,90756375;NA;NA;NA;0,65704888;0,011215548;0,000459192;0,00304344879288349;0,25051487;0,00358894885673464;"30_2_A9"
"54";18;"S";"Rooibos tea";1,904;2,132;0,227;1,398;"Belanger";"A9";"Biologique";"N-8-0-0";30;2;43,972;0,63764;0,0254;0,909953333;NA;NA;NA;0,61472856;0,0089142072;0,000355092;0,00343238102841728;0,295224773;0,00435791679173382;"30_2_A9"
"55";19;"S";"Rooibos tea";1,91;2,138;0,228;1,318;"Belanger";"A9";"Biologique";"N-8-0-0";45;1;50,197;1,0435;0,0386;0,912820833;NA;NA;NA;0,66159646;0,01375333;0,000508748;0,00412208673309137;0,251224373;0,00357648698265254;"45_1_A9"
"56";20;"S";"Rooibos tea";1,897;2,128;0,231;NA;"Belanger";"A9";"Biologique";"N-8-0-0";45;1;NA;NA;NA;0,906607917;NA;NA;NA;NA;NA;NA;NA;NA;NA;"45_1_A9"
"57";21;"S";"Rooibos tea";1,917;2,143;0,226;1,442;"Belanger";"A9";"Biologique";"N-8-0-0";45;1;46,684;0,68682;0,0198;0,91616625;NA;NA;NA;0,67318328;0,0099039444;0,000285516;0,00316367139111945;0,24298297;0,0034242246492452;"45_1_A9"
"58";22;"S";"Rooibos tea";1,918;2,145;0,228;1,394;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;48,972;0,58367;0,015;0,916644167;NA;NA;NA;0,68266968;0,0081363598;0,0002091;0,0035456184902546;0,233974487;0,00327453605618129;"45_2_A9"
"59";23;"S";"Rooibos tea";1,893;2,122;0,229;1,473;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;49,874;0,72113;0,0214;0,90469625;NA;NA;NA;0,73464402;0,0106222449;0,000315222;0,00278735260829658;0,17005223;0,00231347996271566;"45_2_A9"
"60";24;"S";"Rooibos tea";1,914;2,141;0,227;NA;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;NA;NA;NA;0,9147325;NA;NA;NA;NA;NA;NA;NA;NA;NA;"45_2_A9"
"61";25;"S";"Rooibos tea";1,895;2,122;0,226;1,394;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;45,871;0,67665;0,0344;0,905652083;NA;NA;NA;0,63944174;0,009432501;0,000479536;0,00341157251328953;0,266210343;0,00386733003885278;"60_1_A9"
"62";26;"S";"Rooibos tea";1,919;2,143;0,226;1,464;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;47,175;0,65084;0,0179;0,917122083;NA;NA;NA;0,690642;0,0095282976;0,000262056;0,00300702001651603;0,226480083;0,00315132218499776;"60_1_A9"
"63";27;"S";"Rooibos tea";1,896;2,123;0,226;1,448;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;49,636;0,98351;0,0378;0,90613;NA;NA;NA;0,71872928;0,0142412248;0,000547344;0,0029951456652145;0,18740072;0,0025744224415373;"60_1_A9"
"64";28;"S";"Rooibos tea";1,918;2,145;0,227;1,463;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;47,1;0,83206;0,0364;0,916644167;NA;NA;NA;0,689073;0,0121730378;0,000532532;0,00300882060470288;0,227571167;0,00317080156162175;"60_2_A9"
"65";29;"S";"Rooibos tea";1,914;2,141;0,227;1,41;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;47,463;0,6474;0,0184;0,9147325;NA;NA;NA;0,6692283;0,00912834;0,00025944;0,00339561765156317;0,2455042;0,00347229350318971;"60_2_A9"
"66";30;"S";"Rooibos tea";1,916;2,142;0,227;NA;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;44,325;0,62286;0,0186;0,915688333;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_2_A9"
