"No";"TypeThe";"TeaType";"PoidsContenu_g";"PoidsTotal._g";"PoidsSac_g";"Poids_Restant_g";"Farmers";"Site";"Regie";"NitrogenType";"DoseN";"Repetition";"Pourcentage_C";"Pourcentage_N";"Pourcentage_S";"Teneur_Ci";"GreenTMoy_C";"GreenTMoy_N";"GreenTMoy_S";"Teneur_Cf";"Teneur_Nf";"Teneur_Sf";"PertePoids";"Difference_C_Total_g";"TauxDecomposition_C";"DoseRep"
"196";144;"S";"Rooibos tea";1,912;2,138;0,225;1,516;"Belanger";"10";"Conventionel";"N-21-0-0";60;1;49,119;1,0393;0,0401;0,913776667;NA;NA;NA;0,74464404;0,015755788;0,000607916;0,00257860586010033;0,169132627;0,00227422099144196;"60_1_10"
"197";145;"S";"Rooibos tea";1,915;2,14;0,226;1,49;"Belanger";"10";"Conventionel";"N-21-0-0";60;2;45,212;0,75637;0,0304;0,915210417;NA;NA;NA;0,6736588;0,011269913;0,00045296;0,00278823891861379;0,241551617;0,00340478057213774;"60_2_10"
"198";146;"S";"Rooibos tea";1,916;2,142;0,226;1,645;"Belanger";"10";"Conventionel";"N-21-0-0";60;2;46,862;0,87316;0,0246;0,915688333;NA;NA;NA;0,7708799;0,014363482;0,00040467;0,00169443661479259;0,144808433;0,00191270521394992;"60_2_10"
"199";147;"S";"Rooibos tea";1,89;2,116;0,226;1,524;"Belanger";"10";"Conventionel";"N-21-0-0";60;2;46,998;1,0677;0,0375;0,9032625;NA;NA;NA;0,71624952;0,016271748;0,0005715;0,00239153746452329;0,18701298;0,00257760678861517;"60_2_10"
"200";148;"S";"Rooibos tea";1,899;2,127;0,227;1,391;"Belanger";"10";"Conventionel";"N-SCU";45;2;47,002;1,0066;0,0566;0,90756375;NA;NA;NA;0,65379782;0,014001806;0,000787306;0,00345893909876492;0,25376593;0,00364406279637868;"45_2_10"
"201";149;"S";"Rooibos tea";1,912;2,139;0,227;1,446;"Belanger";"10";"Conventionel";"N-SCU";45;2;46,87;0,89954;0,0337;0,913776667;NA;NA;NA;0,6777402;0,0130073484;0,000487302;0,00310387434325152;0,236036467;0,00332024629004704;"45_2_10"
"202";150;"S";"Rooibos tea";1,908;2,138;0,231;1,534;"Belanger";"10";"Conventionel";"N-SCU";60;2;47,358;0,97108;0,0429;0,911865;NA;NA;NA;0,72647172;0,0148963672;0,000658086;0,00242418744534478;0,18539328;0,00252547107675706;"60_2_10"
"203";151;"S";"Rooibos tea";1,919;2,145;0,226;1,615;"Belanger";"10";"Conventionel";"N-SCU";60;2;48,368;0,97371;0,034;0,917122083;NA;NA;NA;0,7811432;0,0157254165;0,0005491;0,00191632511501048;0,135978883;0,00178313454146456;"60_2_10"
"204";152;"S";"Rooibos tea";1,903;2,129;0,226;1,598;"Belanger";"10";"Conventionel";"N-SCU";30;2;46,394;0,91746;0,0356;0,909475417;NA;NA;NA;0,74137612;0,0146610108;0,000568888;0,00194087489966588;0,168099297;0,00227066541768653;"30_2_10"
"205";153;"S";"Rooibos tea";1,919;2,144;0,226;1,518;"Belanger";"10";"Conventionel";"N-SCU";30;2;46,134;0,99378;0,0341;0,917122083;NA;NA;NA;0,70031412;0,0150855804;0,000517638;0,0026045615339125;0,216807963;0,00299679576879995;"30_2_10"
"206";625;"G";"Green tea";1,781;2,141;0,36;0,633;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;50,954;3,6076;0,221;0,854785013;NA;NA;NA;0,32253882;0,022836108;0,00139893;0,0114939984571721;0,532246193;0,0108291832161153;"0_1_9"
"207";626;"G";"Green tea";1,772;2,135;0,364;0,608;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;52,174;3,7355;0,238;0,850465493;NA;NA;NA;0,31721792;0,02271184;0,00144704;0,0118854361022095;0,533247573;0,0109577206213131;"0_1_9"
"208";627;"G";"Green tea";1,78;2,144;0,363;0,623;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;51,297;3,6973;0,236;0,854305067;NA;NA;NA;0,31958031;0,023034179;0,00147028;0,0116646902722075;0,534724757;0,010925330528642;"0_1_9"
"209";628;"G";"Green tea";1,787;2,15;0,363;0,687;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;51,006;4,9237;0,273;0,857664693;NA;NA;NA;0,35041122;0,033825819;0,00187551;0,0106217691437453;0,507253473;0,00994562048120703;"0_2_9"
"210";629;"G";"Green tea";1,769;2,137;0,368;0,703;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;52,188;5,9643;0,313;0,849025653;NA;NA;NA;0,36688164;0,041929029;0,00220039;0,0102534755816569;0,482144013;0,00932277902418328;"0_2_9"
"211";630;"G";"Green tea";1,791;2,151;0,36;0,637;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;51,208;4,8411;0,291;0,85958448;NA;NA;NA;0,32619496;0,030837807;0,00185367;0,0114862194054283;0,53338952;0,010766154114137;"0_2_9"
"212";631;"G";"Green tea";1,767;2,128;0,361;0,593;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;50,875;3,8465;0,251;0,84806576;NA;NA;NA;0,30168875;0,022809745;0,00148843;0,0121316008146886;0,54637701;0,0114840258131411;"15_1_9"
"213";632;"G";"Green tea";1,783;2,145;0,362;0,62;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;49,996;4,1287;0,264;0,855744907;NA;NA;NA;0,3099752;0,02559794;0,0016368;0,0117370348869334;0,545769707;0,0112831114623226;"15_1_9"
"214";633;"G";"Green tea";1,765;2,126;0,361;NA;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;NA;NA;NA;0,847105867;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15_1_9"
"215";634;"G";"Green tea";1,77;2,132;0,363;NA;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;NA;NA;NA;0,8495056;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15_2_9"
"216";635;"G";"Green tea";1,784;2,148;0,364;0,645;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;49,588;3,8118;0,245;0,856224853;NA;NA;NA;0,3198426;0,02458611;0,00158025;0,0113040332927131;0,536382253;0,0109411557844718;"15_2_9"
"217";636;"G";"Green tea";1,756;2,118;0,363;0,587;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;49,44;4,3575;0,28;0,842786347;NA;NA;NA;0,2902128;0,025578525;0,0016436;0,0121752106040774;0,552573547;0,0118455448359614;"15_2_9"
"218";637;"G";"Green tea";1,785;2,152;0,365;0,702;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;42,055;4,0556;0,232;0,8567048;NA;NA;NA;0,2952261;0,028470312;0,00162864;0,0103693365576436;0,5614787;0,0118372433155223;"30_1_9"
"219";638;"G";"Green tea";1,778;2,144;0,366;0,582;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;50,02;4,3624;0,272;0,853345173;NA;NA;NA;0,2911164;0,025389168;0,00158304;0,012408599648249;0,562228773;0,0119493437347311;"30_1_9"
"220";639;"G";"Green tea";1,8;2,161;0,361;0,669;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;49,777;4,8316;0,272;0,863904;NA;NA;NA;0,33300813;0,032323404;0,00181968;0,0109973098195114;0,53089587;0,0105921638602535;"30_1_9"
"221";640;"G";"Green tea";1,796;2,154;0,357;0,784;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;50,58;5,1024;0,285;0,861984213;NA;NA;NA;0,3965472;0,040002816;0,0022344;0,00921009142790819;0,465437013;0,00862713200562996;"30_2_9"
"222";641;"G";"Green tea";1,754;2,117;0,363;0,629;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;49,088;4,4936;0,272;0,841826453;NA;NA;NA;0,30876352;0,028264744;0,00171088;0,011394699069241;0,533062933;0,0111444244857157;"30_2_9"
"223";642;"G";"Green tea";1,751;2,111;0,36;0,592;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;50,609;4,0937;0,259;0,840386613;NA;NA;NA;0,29960528;0,024234704;0,00153328;0,0120492855266872;0,540781333;0,0114599573837648;"30_2_9"
"224";643;"G";"Green tea";1,789;2,148;0,359;0,682;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;46,35;3,4626;0,222;0,858624587;NA;NA;NA;0,316107;0,023614932;0,00151404;0,0107153602851695;0,542517587;0,0111027891962788;"45_1_9"
"225";644;"G";"Green tea";1,759;2,121;0,361;0,572;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;48,103;3,8768;0,243;0,844226187;NA;NA;NA;0,27514916;0,022175296;0,00138996;0,0124817972595307;0,569077027;0,0124567455794103;"45_1_9"
"226";645;"G";"Green tea";1,759;2,131;0,371;0,579;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;51,263;3,97;0,263;0,844226187;NA;NA;NA;0,29681277;0,0229863;0,00152277;0,0123466474129396;0,547413417;0,0116146546310408;"45_1_9"
"227";646;"G";"Green tea";1,768;2,127;0,36;0,694;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;49,448;4,7202;0,272;0,848545707;NA;NA;NA;0,34316912;0,032758188;0,00188768;0,0103903586965643;0,505376587;0,0100588951594458;"45_2_9"
"228";647;"G";"Green tea";1,783;2,148;0,365;0,564;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;50,994;4,0679;0,252;0,855744907;NA;NA;NA;0,28760616;0,022942956;0,00142128;0,0127888707373898;0,568138747;0,0121153364625949;"45_2_9"
"229";648;"G";"Green tea";1,79;2,155;0,365;0,851;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;48,724;4,8823;0,262;0,859104533;NA;NA;NA;0,41464124;0,041548373;0,00222962;0,00826176411401585;0,444463293;0,00809418824065774;"45_2_9"
"230";649;"G";"Green tea";1,776;2,136;0,361;0,678;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;47,983;3,2594;0,231;0,85238528;NA;NA;NA;0,32532474;0,022098732;0,00156618;0,0106996848401302;0,52706054;0,0107023860858423;"60_1_9"
"231";650;"G";"Green tea";1,753;2,115;0,361;NA;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;NA;NA;NA;0,841346507;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_1_9"
"232";651;"G";"Green tea";1,77;2,132;0,362;NA;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;NA;NA;NA;0,8495056;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_1_9"
"233";652;"G";"Green tea";1,799;2,162;0,363;0,677;"Fortier";"9";"Conventionel";"N-21-0-0";60;2;44,782;3,2432;0,21;0,863424053;NA;NA;NA;0,30317414;0,021956464;0,0014217;0,0108590551226473;0,560249913;0,0116288731256282;"60_2_9"
"234";653;"G";"Green tea";1,79;2,149;0,36;0,709;"Fortier";"9";"Conventionel";"N-21-0-0";60;2;48,637;3,799;0,219;0,859104533;NA;NA;NA;0,34483633;0,02693491;0,00155271;0,010290170803363;0,514268203;0,0101424523045996;"60_2_9"
"235";654;"G";"Green tea";1,791;2,146;0,355;0,467;"Fortier";"9";"Conventionel";"N-21-0-0";60;2;44,632;3,5701;0,257;0,85958448;NA;NA;NA;0,20843144;0,016672367;0,00120019;0,014935557159909;0,65115304;0,0157426549719119;"60_2_9"
"236";829;"G";"Green tea";1,758;2,117;0,36;0,784;"Fortier";"45";"Conventionel";"N-21-0-0";0;1;49,476;4,4698;0,27;0,84374624;NA;NA;NA;0,38789184;0,035043232;0,0021168;0,00897247842105238;0,4558544;0,00863472497783816;"0_1_45"
"237";830;"G";"Green tea";1,751;2,113;0,362;0,587;"Fortier";"45";"Conventionel";"N-21-0-0";0;1;53,023;3,9144;0,253;0,840386613;NA;NA;NA;0,31124501;0,022977528;0,00148511;0,0121435279161973;0,529141603;0,011036462488919;"0_1_45"
"238";831;"G";"Green tea";1,778;2,13;0,351;0,727;"Fortier";"45";"Conventionel";"N-21-0-0";0;1;48,812;5,2095;0,339;0,853345173;NA;NA;NA;0,35486324;0,037873065;0,00246453;0,00993686598378145;0,498481933;0,00974924052781779;"0_1_45"
"239";832;"G";"Green tea";1,784;2,143;0,359;0,744;"Fortier";"45";"Conventionel";"N-21-0-0";0;2;51,763;4,8061;0,281;0,856224853;NA;NA;NA;0,38511672;0,035757384;0,00209064;0,00971746975896514;0,471108133;0,00887762848014968;"0_2_45"
"240";833;"G";"Green tea";1,784;2,145;0,361;0,737;"Fortier";"45";"Conventionel";"N-21-0-0";0;2;50,478;4,0142;0,272;0,856224853;NA;NA;NA;0,37202286;0,029584654;0,00200464;0,00982250467722909;0,484201993;0,00926197462653404;"0_2_45"
"241";834;"G";"Green tea";1,782;2,136;0,355;0,804;"Fortier";"45";"Conventionel";"N-21-0-0";0;2;51,163;5,2482;0,307;0,85526496;NA;NA;NA;0,41135052;0,042195528;0,00246828;0,00884324820946431;0,44391444;0,00813295131024115;"0_2_45"
"242";835;"G";"Green tea";1,757;2,112;0,356;0,848;"Fortier";"45";"Conventionel";"N-21-0-0";15;1;50,556;4,7736;0,325;0,843266293;NA;NA;NA;0,42871488;0,040480128;0,002756;0,00809424947105771;0,414551413;0,00751656347598343;"15_1_45"
"243";836;"G";"Green tea";1,784;2,142;0,357;0,692;"Fortier";"45";"Conventionel";"N-21-0-0";15;1;50,686;3,8653;0,29;0,856224853;NA;NA;NA;0,35074712;0,026747876;0,0020068;0,0105225261946921;0,505477733;0,00991630569348511;"15_1_45"
"244";837;"G";"Green tea";1,779;2,134;0,355;0,836;"Fortier";"45";"Conventionel";"N-21-0-0";15;1;50,614;4,6776;0,287;0,85382512;NA;NA;NA;0,42313304;0,039104736;0,00239932;0,00839086749534593;0,43069208;0,00780044167042343;"15_1_45"
"245";838;"G";"Green tea";1,766;2,125;0,359;0,61;"Fortier";"45";"Conventionel";"N-21-0-0";15;2;50,489;3,7105;0,246;0,847585813;NA;NA;NA;0,3079829;0,02263405;0,0015006;0,0118112602666283;0,539602913;0,0112483091828248;"15_2_45"
"246";839;"G";"Green tea";1,775;2,132;0,357;0,65;"Fortier";"45";"Conventionel";"N-21-0-0";15;2;51,892;3,8414;0,261;0,851905333;NA;NA;NA;0,337298;0,0249691;0,0016965;0,0111620371002204;0,514607333;0,0102945399615919;"15_2_45"
"247";840;"G";"Green tea";1,801;2,156;0,356;0,807;"Fortier";"45";"Conventionel";"N-21-0-0";15;2;49,774;4,5611;0,287;0,864383947;NA;NA;NA;0,40167618;0,036808077;0,00231609;0,00891970752117786;0,462707767;0,00851523123970563;"15_2_45"
"248";841;"G";"Green tea";1,769;2,122;0,357;0,803;"Fortier";"45";"Conventionel";"N-21-0-0";30;1;50,548;5,1077;0,315;0,849025653;NA;NA;NA;0,40590044;0,041014831;0,00252945;0,00877572200236693;0,443125213;0,00819979437274961;"30_1_45"
"249";842;"G";"Green tea";1,774;2,13;0,37;0,738;"Fortier";"45";"Conventionel";"N-21-0-0";30;1;51,345;4,7929;0,294;0,851425387;NA;NA;NA;0,3789261;0,035371602;0,00216972;0,0097449815363228;0,472499287;0,00899522968481975;"30_1_45"
"250";843;"G";"Green tea";1,757;2,113;0,355;0,553;"Fortier";"45";"Conventionel";"N-21-0-0";30;1;47,013;3,4768;0,253;0,843266293;NA;NA;NA;0,25998189;0,019226704;0,00139909;0,0128445009629418;0,583284403;0,0130741202298196;"30_1_45"
"251";844;"G";"Green tea";1,761;2,116;0,355;NA;"Fortier";"45";"Conventionel";"N-21-0-0";30;2;NA;NA;NA;0,84518608;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30_2_45"
"252";845;"G";"Green tea";1,781;2,135;0,355;0,83;"Fortier";"45";"Conventionel";"N-21-0-0";30;2;44,017;3,5534;0,256;0,854785013;NA;NA;NA;0,3653411;0,02949322;0,0021248;0,00848338424998909;0,489443913;0,00944465058663472;"30_2_45"
"253";846;"G";"Green tea";1,788;2,146;0,357;0,847;"Fortier";"45";"Conventionel";"N-21-0-0";30;2;50,818;5,0089;0,293;0,85814464;NA;NA;NA;0,43042846;0,042425383;0,00248171;0,00830169178979339;0,42771618;0,0076665725796899;"30_2_45"
"254";847;"G";"Green tea";1,799;2,162;0,363;0,772;"Fortier";"45";"Conventionel";"N-21-0-0";45;1;50,201;4,795;0,297;0,863424053;NA;NA;NA;0,38755172;0,0370174;0,00229284;0,00940001871028619;0,475872333;0,00890062922605754;"45_1_45"
"255";848;"G";"Green tea";1,792;2,151;0,359;0,858;"Fortier";"45";"Conventionel";"N-21-0-0";45;1;46,212;3,9897;0,301;0,860064427;NA;NA;NA;0,39649896;0,034231626;0,00258258;0,0081831499338546;0,463565467;0,0086037098159688;"45_1_45"
"256";849;"G";"Green tea";1,791;2,15;0,359;0,904;"Fortier";"45";"Conventionel";"N-21-0-0";45;1;47,033;4,7959;0,318;0,85958448;NA;NA;NA;0,42517832;0,043354936;0,00287472;0,00759666712965039;0,43440616;0,00782156058109658;"45_1_45"
"257";850;"G";"Green tea";1,768;2,124;0,356;0,753;"Fortier";"45";"Conventionel";"N-21-0-0";45;2;51,906;4,5151;0,28;0,848545707;NA;NA;NA;0,39085218;0,033998703;0,0021084;0,00948376683775217;0,457693527;0,00861327243319683;"45_2_45"
"258";851;"G";"Green tea";1,763;2,123;0,36;0,738;"Fortier";"45";"Conventionel";"N-21-0-0";45;2;50,547;4,0679;0,256;0,846145973;NA;NA;NA;0,37303686;0,030021102;0,00188928;0,00967587064219331;0,473109113;0,00910016282780644;"45_2_45"
"259";852;"G";"Green tea";1,795;2,164;0,368;0,805;"Fortier";"45";"Conventionel";"N-21-0-0";45;2;51,647;4,8294;0,299;0,861504267;NA;NA;NA;0,41575835;0,03887667;0,00240695;0,00891020026115351;0,445745917;0,00809528674320146;"45_2_45"
"260";853;"G";"Green tea";1,772;2,131;0,357;0,754;"Fortier";"45";"Conventionel";"N-21-0-0";60;1;50,239;4,7838;0,293;0,850465493;NA;NA;NA;0,37880206;0,036069852;0,00220922;0,00949413070174522;0,471663433;0,00898633376539292;"60_1_45"
"261";854;"G";"Green tea";1,794;2,145;0,353;0,796;"Fortier";"45";"Conventionel";"N-21-0-0";60;1;50,191;4,0365;0,264;0,86102432;NA;NA;NA;0,39952036;0,03213054;0,00210144;0,00902893174193732;0,46150396;0,00853175580713087;"60_1_45"
"262";855;"G";"Green tea";1,772;2,131;0,359;0,781;"Fortier";"45";"Conventionel";"N-21-0-0";60;1;50,945;4,421;0,269;0,850465493;NA;NA;NA;0,39788045;0,03452801;0,00210089;0,00910321090361489;0,452585043;0,00844035839034036;"60_1_45"
"263";856;"G";"Green tea";1,764;2,118;0,354;0,817;"Fortier";"45";"Conventionel";"N-21-0-0";60;2;44,363;3,7301;0,33;0,84662592;NA;NA;NA;0,36244571;0,030474917;0,0026961;0,00855222379674149;0,48418021;0,00942649162934017;"60_2_45"
"264";857;"G";"Green tea";1,773;2,128;0,352;0,717;"Fortier";"45";"Conventionel";"N-21-0-0";60;2;50,583;3,6961;0,285;0,85094544;NA;NA;NA;0,36268011;0,026501037;0,00204345;0,0100594718386065;0,48826533;0,00947585341815686;"60_2_45"
"265";858;"G";"Green tea";1,771;2,132;0,359;0,869;"Fortier";"45";"Conventionel";"N-21-0-0";60;2;48,501;4,4927;0,27;0,849985547;NA;NA;NA;0,42147369;0,039041563;0,0023463;0,00791062791686046;0,428511857;0,00779402211383899;"60_2_45"
"266";1206;"G";"Green tea";1,754;2,117;0,362;0,851;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;49,362;4,5884;0,286;0,841826453;NA;NA;NA;0,42007062;0,039047284;0,00243386;0,00803602271509727;0,421755833;0,00772390044634916;"57.28_NA_45"
"267";1207;"G";"Green tea";1,751;2,101;0,35;0,742;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;49,238;4,2849;0,296;0,840386613;NA;NA;NA;0,36534596;0,031793958;0,00219632;0,00953992321242746;0,475040653;0,00925574776931342;"57.28_NA_45"
"268";1208;"G";"Green tea";1,774;2,137;0,363;0,668;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;50,728;3,3266;0,257;0,851425387;NA;NA;NA;0,33886304;0,022221688;0,00171676;0,0108522665481431;0,512562347;0,0102368428550015;"57.28_NA_45"
"269";1209;"G";"Green tea";1,77;2,128;0,357;0,837;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;51,201;4,7512;0,29;0,8495056;NA;NA;NA;0,42855237;0,039767544;0,0024273;0,00832123061198222;0,42095323;0,00760268428441281;"57.28_NA_45"
"270";1210;"G";"Green tea";1,774;2,135;0,361;NA;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;NA;NA;NA;0,851425387;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_NA_45"
"271";1211;"G";"Green tea";1,793;2,146;0,353;0,852;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;51,146;5,0601;0,308;0,860544373;NA;NA;NA;0,43576392;0,043112052;0,00262416;0,00826732163084241;0,424780453;0,00756071724489693;"57.28_NA_45"
"272";1212;"G";"Green tea";1,797;2,156;0,359;0,772;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;49,503;3,5529;0,266;0,86246416;NA;NA;NA;0,38216316;0,027428388;0,00205352;0,00938765929731981;0,480301;0,00904384396203876;"57.28_NA_45"
"273";1213;"G";"Green tea";1,767;2,127;0,36;0,876;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;49,173;4,5658;0,275;0,84806576;NA;NA;NA;0,43075548;0,039996408;0,002409;0,00779635979314783;0,41731028;0,00752686202923839;"57.28_NA_45"
"274";1214;"G";"Green tea";1,799;2,162;0,362;NA;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;50,49;4,9219;0,301;0,863424053;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_NA_45"
"275";1215;"G";"Green tea";1,75;2,106;0,356;0,834;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;50,1115;4,6972;0,312;0,839906667;NA;NA;NA;0,41792991;0,039174648;0,00260208;0,00823486293954237;0,421976757;0,00775530039900743;"57.28_NA_45"
"276";1216;"G";"Green tea";1,778;2,137;0,36;0,867;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;51,396;4,6003;0,312;0,853345173;NA;NA;NA;0,44560332;0,039884601;0,00270504;0,00798006043659231;0,407741853;0,00721927760116597;"57.28_NA_45"
"277";1217;"G";"Green tea";1,795;2,144;0,348;0,798;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;51,773;4,007;0,283;0,861504267;NA;NA;NA;0,41314854;0,03197586;0,00225834;0,00900724114969523;0,448355727;0,00816525355143587;"57.28_NA_45"
"278";1218;"G";"Green tea";1,785;2,139;0,354;1,244;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;48,835;4,6919;0,269;0,8567048;NA;NA;NA;0,6075074;0,058367236;0,00334636;0,00401207134349572;0,2491974;0,0038192116182073;"57.28_NA_9"
"279";1219;"G";"Green tea";1,792;2,152;0,36;1,201;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;44,524;3,7248;0,227;0,860064427;NA;NA;NA;0,53473324;0,044734848;0,00272627;0,00444641968283214;0,325331187;0,00528043662038848;"57.28_NA_9"
"280";1220;"G";"Green tea";1,803;2,159;0,355;1,18;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;47,766;3,8724;0,231;0,86534384;NA;NA;NA;0,5636388;0,04569432;0,0027258;0,00471041673048452;0,30170504;0,00476348122258437;"57.28_NA_9"
"281";1221;"G";"Green tea";1,778;2,139;0,36;0,771;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;49,015;4,4899;0,249;0,853345173;NA;NA;NA;0,37790565;0,034617129;0,00191979;0,00928395602789467;0,475439523;0,00905021735588549;"57.28_NA_9"
"282";1222;"G";"Green tea";1,796;2,159;0,361;0,78;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;47,281;4,4411;0,248;0,861984213;NA;NA;NA;0,3687918;0,03464058;0,0019344;0,00926692587976119;0,493192413;0,00943338554387664;"57.28_NA_9"
"283";1223;"G";"Green tea";1,786;2,146;0,36;0,694;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;46,874;3,0053;0,219;0,857184747;NA;NA;NA;0,32530556;0,020856782;0,00151986;0,0105029088992182;0,531879187;0,0107654282690257;"57.28_NA_9"
"284";1224;"G";"Green tea";1,783;2,14;0,358;0,752;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;50,369;4,9149;0,268;0,855744907;NA;NA;NA;0,37877488;0,036960048;0,00201536;0,00959240326570334;0,476970027;0,00905589201614421;"57.28_NA_9"
"285";1225;"G";"Green tea";1,781;2,135;0,353;0,757;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;49,852;4,3798;0,253;0,854785013;NA;NA;NA;0,37737964;0,033155086;0,00191521;0,00950630033169125;0,477405373;0,00908442563468449;"57.28_NA_9"
"286";1226;"G";"Green tea";1,765;2,125;0,361;NA;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;NA;NA;NA;0,847105867;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_NA_9"
"287";1227;"G";"Green tea";1,78;2,136;0,356;0,503;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;46,076;4,6646;0,254;0,854305067;NA;NA;NA;0,23176228;0,023462938;0,00127762;0,0140419830354044;0,622542787;0,0144952906681755;"57.28_NA_9"
"288";1228;"G";"Green tea";1,79;2,151;0,361;NA;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;NA;NA;NA;0,859104533;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_NA_9"
"289";1229;"G";"Green tea";1,775;2,13;0,354;0,75;"Fortier";"9";"Conventionel";"Nproducteur";57,28;NA;48,802;4,6226;0,269;0,851905333;NA;NA;NA;0,366015;0,0346695;0,0020175;0,00957202772643511;0,485890333;0,0093866788109501;"57.28_NA_9"
"290";1230;"G";"Green tea";1,802;2,17;0,368;0,725;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,56;5,2532;0,284;0,864863893;NA;NA;NA;0,36656;0,0380857;0,002059;0,010116453147929;0,498303893;0,00953788807458969;"57.28_NA_10"
"291";1231;"G";"Green tea";1,788;2,148;0,36;0,771;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;43,705;4,2108;0,275;0,85814464;NA;NA;NA;0,33696555;0,032465268;0,00212025;0,00934627313522367;0,52117909;0,010386577375124;"57.28_NA_10"
"292";1232;"G";"Green tea";1,756;2,111;0,355;0,675;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,58;5,0314;0,28;0,842786347;NA;NA;NA;0,341415;0,03396195;0,00189;0,0106231231480281;0,501371347;0,0100401637344412;"57.28_NA_10"
"293";1233;"G";"Green tea";1,764;2,121;0,357;NA;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;NA;NA;NA;0,84662592;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_NA_10"
"294";1234;"G";"Green tea";1,76;2,126;0,366;0,638;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,563;4,6042;0,274;0,844706133;NA;NA;NA;0,32259194;0,029374796;0,00174812;0,011274786718749;0,522114193;0,0106955623821657;"57.28_NA_10"
"295";1235;"G";"Green tea";1,785;2,145;0,359;0,697;"Belanger";"10";"Conventionel";"Nproducteur";57,28;NA;50,413;5,0405;0,301;0,8567048;NA;NA;NA;0,35137861;0,035132285;0,00209797;0,0104487587050357;0,50532619;0,00990254554168157;"57.28_NA_10"
"296";1243;"G";"Green tea";1,778;2,135;0,358;0,619;"Fortier";"9";"Conventionel";"N-SCU";30;2;50,781;4,4079;0,249;0,853345173;NA;NA;NA;0,31433439;0,027284901;0,00154131;0,0117237682598806;0,539010783;0,0110967418638561;"30_2_9"
