Prélèvement;PertePoids
1;
1;
1;
1;0.31855612
1;0.330539933
1;0.325826682
1;0.344779453
1;0.307111111
1;0.322352285
1;
1;0.347811256
1;0.339167136
1;0.305951057
1;
1;0.338173568
1;0.311824324
1;
1;0.35
1;0.346565315
2;0.467444508
2;
2;0.453968254
2;0.431362613
2;0.437402453
2;0.424192635
2;0.450798176
2;0.455820557
2;0.466666667
2;0.466052485
2;0.456151242
2;0.440033595
2;0.458836689
2;0.454145799
2;0.4576385
2;
2;0.451220897
2;
2;0.440316206
2;0.463661814
2;0.467749288
2;
2;0.464494382
2;0.459338194
