Prélèvement;PertePoids
7;0.707227555
7;0.620515695
7;0.650727069
7;0.689973108
7;
7;0.665578201
7;0.68916458
7;0.683030711
7;0.641969142
7;0.666519361
7;0.611208598
7;0.724105513
7;0.714711338
7;0.699335639
7;0.664244436
7;0.673086529
7;0.665807753
7;0.769783359
7;0.658573682
7;0.608090259
7;0.696267342
7;0.688576934
1;0.390489433
1;
1;0.334823924
1;0.349916341
1;0.367707151
1;0.32881072
1;0.105349099
1;0.333464567
1;0.411599099
1;0.353505328
1;0.10861678
1;0.3408
1;0.367865169
1;0.393255295
1;0.102227299
1;0.345659526
1;0.401534963
1;0.394063927
1;0.348833333
1;0.098604132
1;0.302091577
