No;TypeThe;TeaType;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Farmers;Site;Regie;NitrogenType;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S;Teneur_Ci;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
33;S;Rooibos tea;1,9;2,125;0,226;1,322;Belanger;A9;Biologique;N-6-1-1;45;2;45,836;0,82029;0,0359;0,908041667;;;
34;S;Rooibos tea;1,904;2,132;0,227;1,439;Belanger;A9;Biologique;N-6-1-1;45;2;47,973;0,7155;0,0226;0,909953333;;;
35;S;Rooibos tea;1,894;2,122;0,228;1,502;Belanger;A9;Biologique;N-6-1-1;30;2;48,809;0,93119;0,0366;0,905174167;;;
36;S;Rooibos tea;1,92;2,146;0,226;1,489;Belanger;A9;Biologique;N-6-1-1;30;2;43,227;0,64575;0,0269;0,9176;;;
88;S;Rooibos tea;1,897;2,123;0,227;1,46;Belanger;10;Conventionel;Nproducteur;57,28;1;49,532;0,8107;0,0518;0,906607917;;;
124;G;Green tea;1,787;2,015;0,228;0,905;Belanger;10;Conventionel;Nproducteur;57,28;1;49,626;4,3701;0,248;0,857664693;;;
125;G;Green tea;1,779;2,008;0,228;0,883;Belanger;10;Conventionel;Nproducteur;57,28;1;50,432;4,611;0,242;0,85382512;;;
126;G;Green tea;1,798;2,025;0,228;0,726;Belanger;10;Conventionel;Nproducteur;57,28;1;48,95;4,2663;0,245;0,862944107;;;
127;G;Green tea;1,788;2,015;0,226;0,818;Belanger;10;Conventionel;Nproducteur;57,28;2;49,176;4,2812;0,256;0,85814464;;;
128;G;Green tea;1,795;2,023;0,229;0,776;Belanger;10;Conventionel;Nproducteur;57,28;2;50,017;4,2879;0,243;0,861504267;;;
129;G;Green tea;1,76;1,986;0,226;0,891;Belanger;10;Conventionel;Nproducteur;57,28;2;45,633;4,3888;0,25;0,844706133;;;
130;G;Green tea;1,765;1,992;0,227;0,878;Belanger;10;Conventionel;Nproducteur;57,28;1;51,367;4,5529;0,26;0,847105867;;;
131;G;Green tea;1,796;2,022;0,227;0,92;Belanger;10;Conventionel;Nproducteur;57,28;1;50,289;4,5806;0,256;0,861984213;;;
132;G;Green tea;1,767;1,995;0,228;0,823;Belanger;10;Conventionel;Nproducteur;57,28;1;51,441;4,7014;0,271;0,84806576;;;
133;G;Green tea;1,767;1,997;0,229;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;;0,84806576;;;
134;G;Green tea;1,784;2,012;0,228;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;;0,856224853;;;
135;G;Green tea;1,786;2,014;0,227;0,886;Belanger;10;Conventionel;Nproducteur;57,28;2;50,59;4,4912;0,256;0,857184747;;;
136;G;Green tea;1,777;2,003;0,225;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;;0,852865227;;;
137;G;Green tea;1,767;1,994;0,227;0,806;Belanger;A9;Biologique;Nproducteur;68,71;1;49,746;5,2747;0,288;0,84806576;;;
138;G;Green tea;1,797;2,024;0,228;0,763;Belanger;A9;Biologique;Nproducteur;68,71;1;50,147;5,3952;0,282;0,86246416;;;
139;G;Green tea;1,777;2,004;0,227;0,779;Belanger;A9;Biologique;Nproducteur;68,71;2;47,897;4,8253;0,258;0,852865227;;;
140;G;Green tea;1,775;2,003;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;48,915;4,7691;0,272;0,851905333;;;
141;G;Green tea;1,761;1,989;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;;0,84518608;;;
142;G;Green tea;1,751;1,979;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;;0,840386613;;;
143;G;Green tea;1,796;2,024;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;;0,861984213;;;
144;G;Green tea;1,789;2,014;0,227;0,793;Belanger;A9;Biologique;Nproducteur;68,71;1;49,138;4,9214;0,287;0,858624587;;;
145;G;Green tea;1,775;2,002;0,227;0,792;Belanger;A9;Biologique;Nproducteur;68,71;2;49,652;5,4628;0,294;0,851905333;;;
146;G;Green tea;1,756;1,984;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;;0,842786347;;;
147;G;Green tea;1,795;2,022;0,228;0,61;Belanger;A9;Biologique;Nproducteur;68,71;2;37,286;4,3752;0,295;0,861504267;;;
148;G;Green tea;1,793;2,02;0,227;0,72;Belanger;A9;Biologique;Nproducteur;68,71;1;48,659;5,1102;0,296;0,860544373;;;
149;G;Green tea;1,789;2,014;0,227;0,744;Belanger;A9;Biologique;Nproducteur;68,71;1;50,725;5,1489;0,307;0,858624587;;;
150;G;Green tea;1,76;1,988;0,228;0,824;Belanger;A9;Biologique;Nproducteur;68,71;1;50,063;5,4795;0,301;0,844706133;;;
151;G;Green tea;1,767;1,993;0,226;0,753;Belanger;A9;Biologique;Nproducteur;68,71;2;49,918;5,2718;0,292;0,84806576;;;
152;G;Green tea;1,788;2,016;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;;0,85814464;;;
153;G;Green tea;1,785;2,009;0,224;0,808;Belanger;A9;Biologique;Nproducteur;68,71;2;50,057;5,2326;0,29;0,8567048;;;
154;G;Green tea;1,785;2,013;0,227;0,735;Belanger;10;Conventionel;N-21-0-0;0;1;49,195;4,4527;0,285;0,8567048;;;
155;G;Green tea;1,794;2,022;0,227;0,741;Belanger;10;Conventionel;N-21-0-0;0;1;49,597;4,5696;0,268;0,86102432;;;
156;G;Green tea;1,777;2,004;0,226;0,74;Belanger;10;Conventionel;N-21-0-0;0;1;51,106;4,9976;0,284;0,852865227;;;
157;G;Green tea;1,756;1,984;0,227;0,729;Belanger;10;Conventionel;N-21-0-0;0;2;51,235;5,2712;0,293;0,842786347;;;
158;G;Green tea;1,76;1,983;0,224;0,805;Belanger;10;Conventionel;N-21-0-0;0;2;50,208;4,5702;0,257;0,844706133;;;
159;G;Green tea;1,799;2,024;0,225;0,743;Belanger;10;Conventionel;N-21-0-0;0;2;51,081;4,7911;0,289;0,863424053;;;
160;G;Green tea;1,756;1,983;0,228;;Belanger;10;Conventionel;N-21-0-0;15;1;;;;0,842786347;;;
161;G;Green tea;1,76;1,988;0,228;0,674;Belanger;10;Conventionel;N-21-0-0;15;1;50,972;5,1357;0,288;0,844706133;;;
162;G;Green tea;1,771;1,998;0,226;0,739;Belanger;10;Conventionel;N-21-0-0;15;1;51,06;4,6679;0,314;0,849985547;;;
163;G;Green tea;1,781;2,011;0,23;0,775;Belanger;10;Conventionel;N-21-0-0;15;2;50,399;4,6103;0,269;0,854785013;;;
164;G;Green tea;1,793;2,021;0,227;0,764;Belanger;10;Conventionel;N-21-0-0;15;2;48,346;4,2203;0,278;0,860544373;;;
165;G;Green tea;1,784;2,01;0,226;0,836;Belanger;10;Conventionel;N-21-0-0;15;2;50,908;4,828;0,256;0,856224853;;;
166;G;Green tea;1,786;2,013;0,227;0,658;Belanger;10;Conventionel;N-21-0-0;30;1;51,581;4,4809;0,259;0,857184747;;;
167;G;Green tea;1,776;2,003;0,227;0,751;Belanger;10;Conventionel;N-21-0-0;30;1;50,195;3,946;0,243;0,85238528;;;
168;G;Green tea;1,788;2,013;0,227;0,732;Belanger;10;Conventionel;N-21-0-0;30;1;51,353;4,4647;0,26;0,85814464;;;
169;G;Green tea;1,781;2,008;0,227;;Belanger;10;Conventionel;N-21-0-0;30;1;;;;0,854785013;;;
170;G;Green tea;1,78;2,007;0,227;0,616;Belanger;10;Conventionel;N-21-0-0;30;2;51,042;4,739;0,277;0,854305067;;;
171;G;Green tea;1,761;1,99;0,229;0,778;Belanger;10;Conventionel;N-21-0-0;30;2;49,976;4,9552;0,276;0,84518608;;;
172;G;Green tea;1,76;1,983;0,226;0,645;Belanger;10;Conventionel;N-21-0-0;30;2;47,521;4,1047;0,243;0,844706133;;;
173;G;Green tea;1,77;1,998;0,228;0,801;Belanger;10;Conventionel;N-21-0-0;45;1;49,761;4,9617;0,268;0,8495056;;;
174;G;Green tea;1,769;1,995;0,227;0,765;Belanger;10;Conventionel;N-21-0-0;45;1;49,665;4,652;0,27;0,849025653;;;
175;G;Green tea;1,765;1,993;0,228;0,723;Belanger;10;Conventionel;N-21-0-0;45;1;51,41;4,7341;0,265;0,847105867;;;
176;G;Green tea;1,778;2,004;0,226;0,709;Belanger;10;Conventionel;N-21-0-0;45;2;50,389;4,8017;0,272;0,853345173;;;
177;G;Green tea;1,781;2,008;0,228;0,803;Belanger;10;Conventionel;N-21-0-0;45;2;51,256;4,9288;0,28;0,854785013;;;
178;G;Green tea;1,793;2,022;0,228;0,714;Belanger;10;Conventionel;N-21-0-0;45;2;50,469;4,6108;0,261;0,860544373;;;
179;G;Green tea;1,786;2,012;0,226;0,744;Belanger;10;Conventionel;N-21-0-0;60;1;49,823;4,501;0,263;0,857184747;;;
180;G;Green tea;1,799;2,023;0,224;0,851;Belanger;10;Conventionel;N-21-0-0;60;1;49,642;4,3622;0,245;0,863424053;;;
181;G;Green tea;1,766;1,995;0,229;0,702;Belanger;10;Conventionel;N-21-0-0;60;1;49,494;4,2817;0,257;0,847585813;;;
182;G;Green tea;1,754;1,981;0,228;0,769;Belanger;10;Conventionel;N-21-0-0;60;2;50,26;4,6585;0,251;0,841826453;;;
183;G;Green tea;1,77;1,997;0,227;0,74;Belanger;10;Conventionel;N-21-0-0;60;2;49,869;4,6119;0,258;0,8495056;;;
184;G;Green tea;1,796;2,019;0,227;;Belanger;10;Conventionel;N-21-0-0;60;2;;;;0,861984213;;;
185;G;Green tea;1,787;2,012;0,227;0,714;Belanger;10;Conventionel;N-SCU;45;2;49,986;4,2273;0,262;0,857664693;;;
186;G;Green tea;1,777;2,002;0,225;0,692;Belanger;10;Conventionel;N-SCU;45;2;51,621;4,7403;0,261;0,852865227;;;
187;G;Green tea;1,791;2,018;0,227;0,732;Belanger;10;Conventionel;N-SCU;60;2;50,99;5,2118;0,286;0,85958448;;;
188;G;Green tea;1,773;2,001;0,229;0,784;Belanger;10;Conventionel;N-SCU;60;2;48,909;4,4888;0,262;0,85094544;;;
189;G;Green tea;1,792;2,022;0,229;0,734;Belanger;10;Conventionel;N-SCU;30;2;51,244;4,4671;0,26;0,860064427;;;
190;G;Green tea;1,783;2,011;0,227;0,825;Belanger;10;Conventionel;N-SCU;30;2;48,862;4,2277;0,279;0,855744907;;;
89;S;Rooibos tea;1,905;2,131;0,227;1,43;Belanger;10;Conventionel;Nproducteur;57,28;1;42,367;0,7521;0,0398;0,91043125;;;
90;S;Rooibos tea;1,919;2,144;0,226;1,381;Belanger;10;Conventionel;Nproducteur;57,28;1;50,309;1,2782;0,0594;0,917122083;;;
91;S;Rooibos tea;1,917;2,145;0,226;1,544;Belanger;10;Conventionel;Nproducteur;57,28;2;46,604;0,89545;0,0504;0,91616625;;;
92;S;Rooibos tea;1,897;2,123;0,227;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;;0,906607917;;;
93;S;Rooibos tea;1,89;2,115;0,226;1,494;Belanger;10;Conventionel;Nproducteur;57,28;2;47,18;0,80258;0,0308;0,9032625;;;
94;S;Rooibos tea;1,913;2,142;0,229;1,426;Belanger;10;Conventionel;Nproducteur;57,28;1;49,382;1,1927;0,0723;0,914254583;;;
95;S;Rooibos tea;1,893;2,12;0,226;1,434;Belanger;10;Conventionel;Nproducteur;57,28;1;48,621;0,90742;0,046;0,90469625;;;
96;S;Rooibos tea;1,902;2,129;0,227;1,513;Belanger;10;Conventionel;Nproducteur;57,28;1;49,025;0,8691;0,0385;0,9089975;;;
97;S;Rooibos tea;1,898;2,124;0,227;1,472;Belanger;10;Conventionel;Nproducteur;57,28;2;46,428;0,87275;0,0429;0,907085833;;;
98;S;Rooibos tea;1,891;2,116;0,225;1,63;Belanger;10;Conventionel;Nproducteur;57,28;2;48,177;0,87875;0,0284;0,903740417;;;
99;S;Rooibos tea;1,899;2,129;0,229;1,456;Belanger;10;Conventionel;Nproducteur;57,28;2;46,989;0,96973;0,0595;0,90756375;;;
100;S;Rooibos tea;1,916;2,144;0,228;1,412;Belanger;A9;Biologique;Nproducteur;68,71;1;45,292;0,81162;0,0343;0,915688333;;;
101;S;Rooibos tea;1,909;2,137;0,229;1,411;Belanger;A9;Biologique;Nproducteur;68,71;1;46,394;0,5821;0,0198;0,912342917;;;
102;S;Rooibos tea;1,907;2,135;0,229;1,567;Belanger;A9;Biologique;Nproducteur;68,71;1;44,415;0,67789;0,021;0,911387083;;;
103;S;Rooibos tea;1,903;2,13;0,227;1,584;Belanger;A9;Biologique;Nproducteur;68,71;2;47,71;0,79873;0,029;0,909475417;;;
104;S;Rooibos tea;1,909;2,136;0,228;1,68;Belanger;A9;Biologique;Nproducteur;68,71;2;44,113;0,65887;0,0225;0,912342917;;;
105;S;Rooibos tea;1,911;2,139;0,228;1,397;Belanger;A9;Biologique;Nproducteur;68,71;2;49,435;0,99934;0,0536;0,91329875;;;
106;S;Rooibos tea;1,899;2,126;0,227;1,321;Belanger;A9;Biologique;Nproducteur;68,71;1;;;;0,90756375;;;
107;S;Rooibos tea;1,901;2,127;0,227;1,467;Belanger;A9;Biologique;Nproducteur;68,71;1;47,967;0,86933;0,0304;0,908519583;;;
108;S;Rooibos tea;1,905;2,128;0,225;1,547;Belanger;A9;Biologique;Nproducteur;68,71;1;45,146;0,64983;0,0221;0,91043125;;;
109;S;Rooibos tea;1,912;2,14;0,228;1,577;Belanger;A9;Biologique;Nproducteur;68,71;2;47,055;0,71928;0,0262;0,913776667;;;
110;S;Rooibos tea;1,899;2,126;0,227;1,557;Belanger;A9;Biologique;Nproducteur;68,71;2;41,404;0,6762;0,0322;0,90756375;;;
111;S;Rooibos tea;1,916;2,142;0,226;1,479;Belanger;A9;Biologique;Nproducteur;68,71;2;46,669;0,93146;0,0474;0,915688333;;;
112;S;Rooibos tea;1,904;2,13;0,228;1,492;Belanger;A9;Biologique;Nproducteur;68,71;1;44,614;0,92529;0,0341;0,909953333;;;
113;S;Rooibos tea;1,898;2,126;0,229;1,39;Belanger;A9;Biologique;Nproducteur;68,71;1;49,421;1,2412;0,0509;0,907085833;;;
114;S;Rooibos tea;1,907;2,134;0,228;1,495;Belanger;A9;Biologique;Nproducteur;68,71;1;47,379;0,79721;0,0284;0,911387083;;;
115;S;Rooibos tea;1,909;2,136;0,226;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;;0,912342917;;;
116;S;Rooibos tea;1,911;2,14;0,227;1,61;Belanger;A9;Biologique;Nproducteur;68,71;2;46,611;0,74318;0,0213;0,91329875;;;
117;S;Rooibos tea;1,898;2,123;0,226;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;;0,907085833;;;
118;S;Rooibos tea;1,905;2,135;0,23;1,509;Belanger;10;Conventionel;N-21-0-0;0;1;47,458;0,85638;0,026;0,91043125;;;
